order_item_id,order_id,product_id,quantity,unit_price,discount_pct,discount_amount,net_line_sales
OI0000040,O0000020,P0749,1,1123.46,11.26,126.5,996.96
OI0000041,O0000020,P0880,1,1275.9,21.31,271.89,1004.01
OI0000042,O0000020,P1159,1,757.08,18.84,142.63,614.45
OI0000043,O0000021,P0376,1,1176.57,1.09,12.82,1163.75
OI0000044,O0000022,P0537,2,1357.09,13.74,372.93,2341.25
OI0000045,O0000023,P1023,1,1359.29,12.02,163.39,1195.9
OI0000046,O0000024,P1472,3,1286.78,8.81,340.1,3520.24
OI0000047,O0000025,P1164,1,454.65,11.6,52.74,401.91
OI0000048,O0000026,P0084,1,914.28,17.55,160.46,753.82
OI0000049,O0000026,P1470,1,550.34,4.73,26.03,524.31
OI0000050,O0000027,P1368,2,1061.37,12.66,268.74,1854.0
OI0000051,O0000028,P0165,1,448.73,5.56,24.95,423.78
OI0000052,O0000029,P0966,1,1277.13,16.4,209.45,1067.68
OI0000053,O0000030,P1338,1,664.94,8.73,58.05,606.89
OI0000054,O0000031,P1346,1,252.79,5.94,15.02,237.77
OI0000055,O0000031,P0069,1,238.77,13.56,32.38,206.39
OI0000056,O0000031,P0938,1,925.82,26.1,241.64,684.18
OI0000057,O0000032,P0437,1,622.8,3.61,22.48,600.32
OI0000058,O0000033,P1036,1,265.23,15.34,40.69,224.54
OI0000059,O0000033,P0497,1,1436.43,2.48,35.62,1400.81
OI0000060,O0000033,P0544,1,1496.79,7.3,109.27,1387.52
OI0000061,O0000033,P1253,1,1459.98,11.25,164.25,1295.73
OI0000062,O0000034,P0090,3,979.92,27.46,807.26,2132.5
OI0000063,O0000034,P0997,1,1151.31,15.45,177.88,973.43
OI0000064,O0000035,P0635,1,77.51,3.56,2.76,74.75
OI0000065,O0000035,P0559,1,1287.77,7.82,100.7,1187.07
OI0000066,O0000036,P0542,1,715.32,3.27,23.39,691.93
OI0000067,O0000036,P0068,1,554.81,13.25,73.51,481.3
OI0000068,O0000037,P1296,1,334.25,12.14,40.58,293.67
OI0000069,O0000037,P1250,1,1115.46,10.02,111.77,1003.69
OI0000070,O0000038,P0723,1,1128.94,12.58,142.02,986.92
OI0000071,O0000039,P1431,2,523.76,11.76,123.19,924.33
OI0000072,O0000040,P1311,2,1226.43,9.75,239.15,2213.71
OI0000073,O0000041,P0679,1,840.43,0,0.0,840.43
OI0000074,O0000042,P0533,1,842.36,20.84,175.55,666.81
OI0000075,O0000043,P0952,1,343.77,16.66,57.27,286.5
OI0000076,O0000044,P0684,1,1310.13,17.09,223.9,1086.23
OI0000077,O0000044,P1159,2,757.08,17.61,266.64,1247.52
OI0000078,O0000045,P0572,1,1406.3,4.77,67.08,1339.22
OI0000079,O0000045,P1076,2,296.27,11.1,65.77,526.77
OI0000080,O0000046,P1465,1,1034.65,20.83,215.52,819.13
OI0000081,O0000047,P1153,2,972.73,12.58,244.74,1700.72
OI0000082,O0000048,P0485,3,1266.64,5.22,198.36,3601.56
OI0000083,O0000049,P1091,1,256.09,5.93,15.19,240.9
OI0000084,O0000050,P1016,2,824.48,0,0.0,1648.96
OI0000085,O0000051,P1368,1,1061.37,11.11,117.92,943.45
OI0000086,O0000052,P0947,1,176.86,2.82,4.99,171.87
OI0000087,O0000053,P1208,1,174.93,0,0.0,174.93
OI0000088,O0000053,P0884,1,229.08,13.7,31.38,197.7
OI0000089,O0000054,P0032,1,1400.48,20.77,290.88,1109.6
OI0000090,O0000055,P0592,1,266.72,5.28,14.08,252.64
OI0000091,O0000056,P0738,1,466.99,12.87,60.1,406.89
OI0000092,O0000057,P1203,1,1300.51,13.19,171.54,1128.97
OI0000093,O0000057,P0277,1,211.82,10.44,22.11,189.71
OI0000094,O0000058,P1477,2,665.59,17.6,234.29,1096.89
OI0000095,O0000058,P0499,3,872.62,8.86,231.94,2385.92
OI0000096,O0000058,P0676,1,185.45,8.94,16.58,168.87
OI0000097,O0000058,P0408,1,1328.24,17.99,238.95,1089.29
OI0000098,O0000059,P0854,1,1393.68,12.35,172.12,1221.56
OI0000099,O0000059,P0700,3,948.5,11.33,322.4,2523.1
OI0000100,O0000060,P1164,1,454.65,5.89,26.78,427.87
OI0000101,O0000060,P0872,1,948.93,5.82,55.23,893.7
OI0000102,O0000061,P0755,1,438.26,11.67,51.14,387.12
OI0000103,O0000061,P1210,1,962.99,9.1,87.63,875.36
OI0000104,O0000062,P1184,1,1340.59,7.4,99.2,1241.39
OI0000105,O0000063,P1106,1,257.11,2.83,7.28,249.83
OI0000106,O0000064,P0920,1,296.82,8.96,26.6,270.22
OI0000107,O0000065,P1297,1,1069.97,11.25,120.37,949.6
OI0000108,O0000065,P0106,1,1463.96,11.22,164.26,1299.7
OI0000109,O0000065,P1477,1,665.59,13.92,92.65,572.94
OI0000110,O0000065,P0122,1,368.28,5.39,19.85,348.43
OI0000111,O0000066,P1367,1,873.18,26.22,228.95,644.23
OI0000112,O0000066,P0686,3,1313.42,16.44,647.78,3292.48
OI0000113,O0000066,P0727,1,135.23,8.31,11.24,123.99
OI0000114,O0000067,P0469,1,41.71,12.74,5.31,36.4
OI0000115,O0000067,P0315,2,1051.57,2.59,54.47,2048.67
OI0000116,O0000067,P0890,2,169.91,19.63,66.71,273.11
OI0000117,O0000068,P0954,1,395.8,10.71,42.39,353.41
OI0000118,O0000069,P1318,2,1249.24,6.32,157.9,2340.58
OI0000119,O0000069,P0383,2,246.87,15.04,74.26,419.48
OI0000120,O0000069,P0758,1,766.12,1.38,10.57,755.55
OI0000121,O0000070,P0585,4,1176.35,18.15,854.03,3851.37
OI0000122,O0000070,P1469,1,1365.58,23.25,317.5,1048.08
OI0000123,O0000071,P0790,1,29.22,5.43,1.59,27.63
OI0000124,O0000072,P0022,1,844.17,5.72,48.29,795.88
OI0000125,O0000072,P1096,1,929.98,7.13,66.31,863.67
OI0000126,O0000073,P1275,1,424.92,14.47,61.49,363.43
OI0000127,O0000073,P0821,1,874.05,15.09,131.89,742.16
OI0000128,O0000073,P1015,2,525.77,5.15,54.15,997.39
OI0000129,O0000074,P0554,1,754.41,15.94,120.25,634.16
OI0000130,O0000075,P0060,2,369.86,27.25,201.57,538.15
OI0000131,O0000075,P1252,1,926.17,5.77,53.44,872.73
OI0000132,O0000075,P0230,1,1407.35,3.04,42.78,1364.57
OI0000133,O0000075,P0004,1,1072.13,0,0.0,1072.13
OI0000134,O0000076,P1412,2,701.98,9.39,131.83,1272.13
OI0000135,O0000076,P1264,1,261.36,16.78,43.86,217.5
OI0000136,O0000077,P1405,3,1009.35,7.52,227.71,2800.34
OI0000137,O0000077,P1207,1,516.2,6.99,36.08,480.12
OI0000138,O0000077,P1427,2,269.44,9.96,53.67,485.21
OI0000139,O0000077,P1095,3,626.41,5.47,102.79,1776.44
OI0000140,O0000078,P0362,3,1410.54,11.91,503.99,3727.63
OI0000141,O0000078,P1109,2,761.3,8.93,135.97,1386.63
OI0000142,O0000079,P0674,3,772.89,5.82,134.95,2183.72
OI0000143,O0000080,P1373,1,657.53,8.22,54.05,603.48
OI0000144,O0000081,P0630,1,780.73,9.39,73.31,707.42
OI0000145,O0000082,P1147,1,90.36,9.71,8.77,81.59
OI0000146,O0000082,P0960,2,1390.3,3.05,84.81,2695.79
OI0000147,O0000083,P0999,1,914.94,5.45,49.86,865.08
OI0000148,O0000084,P0428,2,1240.15,10.31,255.72,2224.58
OI0000149,O0000084,P0047,1,305.49,18.21,55.63,249.86
OI0000150,O0000085,P0245,1,1272.35,6.49,82.58,1189.77
OI0000151,O0000086,P0839,1,316.83,5.7,18.06,298.77
OI0000152,O0000086,P0085,1,1031.08,23.18,239.0,792.08
OI0000153,O0000087,P0871,1,1330.25,19.9,264.72,1065.53
OI0000154,O0000088,P0944,3,454.84,12.51,170.7,1193.82
OI0000155,O0000088,P0934,1,231.53,5.78,13.38,218.15
OI0000156,O0000088,P0562,1,192.91,21.87,42.19,150.72
OI0000157,O0000089,P1337,1,1064.09,21.42,227.93,836.16
OI0000158,O0000090,P0255,1,850.5,11.77,100.1,750.4
OI0000159,O0000090,P1211,3,24.55,11.46,8.44,65.21
OI0000160,O0000090,P0818,1,907.12,7.9,71.66,835.46
OI0000161,O0000091,P0034,2,890.13,11.66,207.58,1572.68
OI0000162,O0000092,P0316,3,970.95,24.62,717.14,2195.71
OI0000163,O0000092,P0503,1,1185.32,5.22,61.87,1123.45
OI0000164,O0000093,P0999,1,914.94,7.8,71.37,843.57
OI0000165,O0000094,P0890,1,169.91,24.77,42.09,127.82
OI0000166,O0000094,P0816,1,337.57,23.45,79.16,258.41
OI0000167,O0000095,P1266,2,59.59,13.84,16.49,102.69
OI0000168,O0000095,P1013,1,643.28,3.13,20.13,623.15
OI0000169,O0000096,P0147,1,493.38,11.27,55.6,437.78
OI0000170,O0000097,P1174,1,413.15,18.05,74.57,338.58
OI0000171,O0000097,P0883,1,679.1,18.81,127.74,551.36
OI0000172,O0000098,P1159,1,757.08,22.88,173.22,583.86
OI0000173,O0000099,P0914,1,1166.42,15.37,179.28,987.14
OI0000174,O0000100,P1419,1,1130.36,7.26,82.06,1048.3
OI0000175,O0000101,P0491,3,881.72,15.93,421.37,2223.79
OI0000176,O0000101,P1459,1,1198.55,11.69,140.11,1058.44
OI0000177,O0000101,P0073,1,1275.16,28.54,363.93,911.23
OI0000178,O0000102,P0877,1,530.91,18.85,100.08,430.83
OI0000179,O0000102,P1411,1,858.58,6.29,54.0,804.58
OI0000180,O0000102,P0093,1,339.7,0,0.0,339.7
OI0000181,O0000102,P0079,1,1439.37,20.77,298.96,1140.41
OI0000182,O0000103,P0166,1,649.25,6.2,40.25,609.0
OI0000183,O0000103,P1453,1,1038.98,11.87,123.33,915.65
OI0000184,O0000104,P0496,2,1418.17,24.18,685.83,2150.51
OI0000185,O0000105,P0181,1,1371.52,13.52,185.43,1186.09
OI0000186,O0000105,P1453,1,1038.98,12.3,127.79,911.19
OI0000187,O0000105,P0060,1,369.86,9.68,35.8,334.06
OI0000188,O0000106,P1231,1,608.82,0,0.0,608.82
OI0000189,O0000107,P1382,1,347.57,0.89,3.09,344.48
OI0000190,O0000107,P0173,3,1418.02,7.79,331.39,3922.67
OI0000191,O0000107,P0781,1,1366.49,15.85,216.59,1149.9
OI0000192,O0000108,P0537,1,1357.09,0,0.0,1357.09
OI0000193,O0000108,P0809,1,656.94,0,0.0,656.94
OI0000194,O0000108,P1102,3,1234.65,4.26,157.79,3546.16
OI0000195,O0000109,P0504,2,1407.73,12.1,340.67,2474.79
OI0000196,O0000109,P0785,2,1313.37,11.68,306.8,2319.94
OI0000197,O0000110,P0590,1,1440.85,17.85,257.19,1183.66
OI0000198,O0000111,P0104,3,626.48,16.72,314.24,1565.2
OI0000199,O0000111,P1175,1,1199.21,19.96,239.36,959.85
OI0000200,O0000111,P0145,4,441.15,13.63,240.51,1524.09
OI0000201,O0000112,P0041,1,1481.4,7.78,115.25,1366.15
OI0000202,O0000112,P0039,1,1182.74,7.54,89.18,1093.56
OI0000203,O0000112,P0932,1,223.5,12.74,28.47,195.03
OI0000204,O0000112,P0122,1,368.28,10.65,39.22,329.06
OI0000205,O0000112,P0264,1,1075.95,4.27,45.94,1030.01
OI0000206,O0000113,P0649,2,857.14,12.0,205.71,1508.57
OI0000207,O0000113,P0936,1,126.78,17.86,22.64,104.14
OI0000208,O0000113,P1415,1,794.79,9.42,74.87,719.92
OI0000209,O0000114,P1153,1,972.73,0,0.0,972.73
OI0000210,O0000114,P1236,2,145.53,0,0.0,291.06
OI0000211,O0000114,P0901,1,896.9,8.68,77.85,819.05
OI0000212,O0000114,P0525,1,811.19,18.55,150.48,660.71
OI0000213,O0000114,P0764,2,727.46,24.78,360.53,1094.39
OI0000214,O0000115,P0537,3,1357.09,9.04,368.04,3703.23
OI0000215,O0000116,P0356,1,1114.11,15.46,172.24,941.87
OI0000216,O0000117,P0659,1,749.78,6.57,49.26,700.52
OI0000217,O0000117,P0013,1,505.94,11.9,60.21,445.73
OI0000218,O0000117,P0766,2,157.11,13.37,42.01,272.21
OI0000219,O0000117,P0795,1,1324.15,6.48,85.8,1238.35
OI0000220,O0000118,P0610,3,1299.07,11.74,457.53,3439.68
OI0000221,O0000119,P0791,1,809.28,17.5,141.62,667.66
OI0000222,O0000119,P0140,2,1255.13,20.49,514.35,1995.91
OI0000223,O0000119,P0786,1,532.04,7.15,38.04,494.0
OI0000224,O0000119,P0454,1,1251.9,18.02,225.59,1026.31
OI0000225,O0000120,P0737,1,712.39,12.21,86.98,625.41
OI0000226,O0000121,P0503,2,1185.32,1.17,27.74,2342.9
OI0000227,O0000122,P0248,1,33.39,9.96,3.33,30.06
OI0000228,O0000122,P0700,1,948.5,5.92,56.15,892.35
OI0000229,O0000122,P0313,1,541.39,4.2,22.74,518.65
OI0000230,O0000123,P0754,1,1100.23,17.1,188.14,912.09
OI0000231,O0000123,P1115,1,212.23,16.78,35.61,176.62
OI0000232,O0000123,P1222,1,1111.03,22.62,251.31,859.72
OI0000233,O0000123,P0447,2,988.41,9.34,184.63,1792.19
OI0000234,O0000124,P0957,1,883.22,5.53,48.84,834.38
OI0000235,O0000125,P1038,3,621.04,0,0.0,1863.12
OI0000236,O0000126,P0432,1,1484.17,9.9,146.93,1337.24
OI0000237,O0000127,P1056,1,364.83,0,0.0,364.83
OI0000238,O0000127,P0495,3,795.57,9.31,222.2,2164.51
OI0000239,O0000127,P1126,1,883.3,12.17,107.5,775.8
OI0000240,O0000127,P0483,2,279.83,12.09,67.66,492.0
OI0000241,O0000127,P1423,3,286.41,5.81,49.92,809.31
OI0000242,O0000128,P0178,1,799.97,9.51,76.08,723.89
OI0000243,O0000128,P1490,1,410.37,26.27,107.8,302.57
OI0000244,O0000129,P1205,1,746.14,18.07,134.83,611.31
OI0000245,O0000129,P0552,1,274.84,22.47,61.76,213.08
OI0000246,O0000129,P0457,1,1356.65,4.99,67.7,1288.95
OI0000247,O0000130,P0340,1,652.53,4.81,31.39,621.14
OI0000248,O0000131,P1072,3,1359.52,12.65,515.94,3562.62
OI0000249,O0000131,P1344,2,1274.46,13.33,339.77,2209.15
OI0000250,O0000132,P0968,1,1205.12,10.2,122.92,1082.2
OI0000251,O0000133,P0041,2,1481.4,14.46,428.42,2534.38
OI0000252,O0000133,P0313,1,541.39,17.57,95.12,446.27
OI0000253,O0000133,P0848,1,1174.63,5.87,68.95,1105.68
OI0000254,O0000134,P1254,4,910.64,10.18,370.81,3271.75
OI0000255,O0000135,P0425,1,773.53,12.38,95.76,677.77
OI0000256,O0000136,P0408,1,1328.24,14.37,190.87,1137.37
OI0000257,O0000137,P0860,1,55.55,23.96,13.31,42.24
OI0000258,O0000137,P0167,2,591.5,7.09,83.87,1099.13
OI0000259,O0000137,P1316,2,1059.59,5.06,107.23,2011.95
OI0000260,O0000137,P0845,1,336.32,4.88,16.41,319.91
OI0000261,O0000138,P0253,1,756.11,11.44,86.5,669.61
OI0000262,O0000138,P1256,2,937.67,16.65,312.24,1563.1
OI0000263,O0000139,P1137,2,1163.99,1.62,37.71,2290.27
OI0000264,O0000140,P1162,1,219.11,13.39,29.34,189.77
OI0000265,O0000141,P1295,1,899.47,5.61,50.46,849.01
OI0000266,O0000141,P0039,3,1182.74,19.35,686.58,2861.64
OI0000267,O0000141,P0488,1,260.33,2.17,5.65,254.68
OI0000268,O0000142,P0092,1,669.86,7.17,48.03,621.83
OI0000269,O0000142,P1031,1,333.25,18.33,61.08,272.17
OI0000270,O0000143,P1147,4,90.36,16.52,59.71,301.73
OI0000271,O0000143,P1091,1,256.09,16.97,43.46,212.63
OI0000272,O0000144,P1299,1,558.78,9.23,51.58,507.2
OI0000273,O0000145,P0879,1,1440.3,5.58,80.37,1359.93
OI0000274,O0000145,P0810,1,825.54,6.68,55.15,770.39
OI0000275,O0000145,P1264,1,261.36,11.78,30.79,230.57
OI0000276,O0000146,P0624,1,1131.14,4.63,52.37,1078.77
OI0000277,O0000146,P0157,1,1033.33,5.58,57.66,975.67
OI0000278,O0000146,P1387,3,945.73,7.41,210.24,2626.95
OI0000279,O0000147,P0918,1,487.47,8.19,39.92,447.55
OI0000280,O0000148,P0528,3,581.94,13.8,240.92,1504.9
OI0000281,O0000148,P0326,1,796.33,14.84,118.18,678.15
OI0000282,O0000149,P0390,1,877.49,16.56,145.31,732.18
OI0000283,O0000149,P0267,1,862.33,8.05,69.42,792.91
OI0000284,O0000150,P1375,1,390.59,1.96,7.66,382.93
OI0000285,O0000151,P0815,1,614.31,22.81,140.12,474.19
OI0000286,O0000151,P0524,3,372.7,18.58,207.74,910.36
OI0000287,O0000152,P1166,1,108.01,11.98,12.94,95.07
OI0000288,O0000153,P0675,1,190.52,10.8,20.58,169.94
OI0000289,O0000153,P0768,1,250.82,0.41,1.03,249.79
OI0000290,O0000153,P1388,2,609.33,11.55,140.76,1077.9
OI0000291,O0000153,P1315,2,235.03,10.62,49.92,420.14
OI0000292,O0000154,P0631,2,731.1,12.73,186.14,1276.06
OI0000293,O0000154,P1354,1,476.56,10.5,50.04,426.52
OI0000294,O0000155,P0624,1,1131.14,9.09,102.82,1028.32
OI0000295,O0000156,P1325,2,1440.02,12.09,348.2,2531.84
OI0000296,O0000157,P0139,4,445.15,4.13,73.54,1707.06
OI0000297,O0000158,P1355,2,1152.46,6.64,153.05,2151.87
OI0000298,O0000158,P0966,1,1277.13,13.24,169.09,1108.04
OI0000299,O0000159,P0839,1,316.83,7.13,22.59,294.24
OI0000300,O0000159,P0748,1,441.47,7.37,32.54,408.93
OI0000301,O0000160,P0933,1,734.75,17.54,128.88,605.87
OI0000302,O0000160,P0191,2,816.8,8.45,138.04,1495.56
OI0000303,O0000161,P0414,1,804.36,14.04,112.93,691.43
OI0000304,O0000162,P1132,3,723.77,6.85,148.73,2022.58
OI0000305,O0000162,P0115,1,1480.76,11.44,169.4,1311.36
OI0000306,O0000162,P1100,1,396.31,0,0.0,396.31
OI0000307,O0000162,P0794,1,982.58,23.76,233.46,749.12
OI0000308,O0000163,P0663,1,842.89,11.22,94.57,748.32
OI0000309,O0000163,P1123,1,1222.61,7.35,89.86,1132.75
OI0000310,O0000163,P0544,1,1496.79,8.35,124.98,1371.81
OI0000311,O0000164,P0834,2,1104.07,19.73,435.67,1772.47
OI0000312,O0000164,P0128,1,655.11,11.18,73.24,581.87
OI0000313,O0000165,P1060,1,756.52,19.77,149.56,606.96
OI0000314,O0000165,P0149,1,1052.42,10.14,106.72,945.7
OI0000315,O0000165,P0547,1,914.34,10.13,92.62,821.72
OI0000316,O0000166,P1303,2,915.3,16.57,303.33,1527.27
OI0000317,O0000166,P1367,1,873.18,7.5,65.49,807.69
OI0000318,O0000167,P1164,4,454.65,2.86,52.01,1766.59
OI0000319,O0000167,P1284,2,735.77,8.28,121.84,1349.7
OI0000320,O0000167,P1315,2,235.03,7.52,35.35,434.71
OI0000321,O0000168,P0757,1,1123.41,0,0.0,1123.41
OI0000322,O0000169,P0307,1,803.71,4.02,32.31,771.4
OI0000323,O0000170,P0367,1,1318.02,2.87,37.83,1280.19
OI0000324,O0000170,P0768,1,250.82,21.15,53.05,197.77
OI0000325,O0000171,P1427,1,269.44,10.21,27.51,241.93
OI0000326,O0000172,P0381,1,585.1,9.29,54.36,530.74
OI0000327,O0000173,P0171,3,1257.65,12.77,481.81,3291.14
OI0000328,O0000174,P0912,1,978.65,16.06,157.17,821.48
OI0000329,O0000174,P1043,1,1398.02,14.69,205.37,1192.65
OI0000330,O0000175,P1143,1,1195.28,3.92,46.85,1148.43
OI0000331,O0000175,P0845,2,336.32,14.33,96.39,576.25
OI0000332,O0000176,P0271,3,1244.74,14.05,524.66,3209.56
OI0000333,O0000176,P1412,3,701.98,9.43,198.59,1907.35
OI0000334,O0000176,P0055,2,948.22,14.22,269.67,1626.77
OI0000335,O0000176,P1427,4,269.44,18.95,204.24,873.52
OI0000336,O0000176,P1496,1,1176.79,1.15,13.53,1163.26
OI0000337,O0000177,P1379,2,1497.83,9.95,298.07,2697.59
OI0000338,O0000177,P0244,3,811.15,8.24,200.52,2232.93
OI0000339,O0000177,P0069,1,238.77,4.94,11.8,226.97
OI0000340,O0000178,P0667,1,185.3,15.58,28.87,156.43
OI0000341,O0000179,P0951,1,288.04,10.3,29.67,258.37
OI0000342,O0000179,P0716,1,771.24,20.1,155.02,616.22
OI0000343,O0000180,P0278,1,1046.96,19.17,200.7,846.26
OI0000344,O0000180,P1265,3,1406.0,9.37,395.23,3822.77
OI0000345,O0000181,P0680,1,527.31,9.92,52.31,475.0
OI0000346,O0000182,P1008,3,54.92,21.33,35.14,129.62
OI0000347,O0000182,P0960,1,1390.3,12.64,175.73,1214.57
OI0000348,O0000182,P0242,1,1402.15,12.71,178.21,1223.94
OI0000349,O0000182,P1242,1,944.15,20.94,197.71,746.44
OI0000350,O0000182,P0130,1,669.14,9.81,65.64,603.5
OI0000351,O0000183,P0403,1,22.16,18.09,4.01,18.15
OI0000352,O0000184,P1036,1,265.23,10.23,27.13,238.1
OI0000353,O0000185,P1044,2,1023.69,18.75,383.88,1663.5
OI0000354,O0000185,P1481,1,921.18,21.13,194.65,726.53
OI0000355,O0000186,P0270,1,1247.35,9.07,113.13,1134.22
OI0000356,O0000187,P0870,1,653.91,11.81,77.23,576.68
OI0000357,O0000187,P1284,1,735.77,8.53,62.76,673.01
OI0000358,O0000188,P1336,1,130.26,12.08,15.74,114.52
OI0000359,O0000188,P0854,1,1393.68,12.97,180.76,1212.92
OI0000360,O0000188,P1485,2,1207.78,11.03,266.44,2149.12
OI0000361,O0000188,P1413,2,913.54,13.7,250.31,1576.77
OI0000362,O0000189,P1365,1,1439.57,3.33,47.94,1391.63
OI0000363,O0000189,P0980,1,762.75,20.57,156.9,605.85
OI0000364,O0000190,P0605,1,433.83,11.34,49.2,384.63
OI0000365,O0000190,P0567,2,214.09,9.29,39.78,388.4
OI0000366,O0000191,P1276,2,633.15,0,0.0,1266.3
OI0000367,O0000191,P1400,2,650.15,9.41,122.36,1177.94
OI0000368,O0000191,P0069,1,238.77,14.66,35.0,203.77
OI0000369,O0000192,P1087,1,227.25,4.92,11.18,216.07
OI0000370,O0000192,P0190,3,79.48,18.12,43.21,195.23
OI0000371,O0000192,P0911,1,486.59,3.44,16.74,469.85
OI0000372,O0000193,P0638,2,1239.57,11.66,289.07,2190.07
OI0000373,O0000194,P1148,1,903.58,18.08,163.37,740.21
OI0000374,O0000194,P0174,1,860.82,18.19,156.58,704.24
OI0000375,O0000195,P1320,1,749.09,11.63,87.12,661.97
OI0000376,O0000195,P1075,1,936.47,14.6,136.72,799.75
OI0000377,O0000195,P1069,1,1263.86,13.02,164.55,1099.31
OI0000378,O0000196,P1235,1,1488.19,4.91,73.07,1415.12
OI0000379,O0000196,P1143,1,1195.28,16.47,196.86,998.42
OI0000380,O0000197,P0638,1,1239.57,22.44,278.16,961.41
OI0000381,O0000198,P0286,3,1405.22,12.16,512.62,3703.04
OI0000382,O0000199,P0161,1,783.88,12.83,100.57,683.31
OI0000383,O0000199,P1152,1,1339.05,7.83,104.85,1234.2
OI0000384,O0000200,P0006,1,215.16,8.73,18.78,196.38
OI0000385,O0000201,P0500,2,271.87,9.2,50.02,493.72
OI0000386,O0000201,P1461,1,1228.66,14.25,175.08,1053.58
OI0000387,O0000201,P0984,1,1264.28,1.6,20.23,1244.05
OI0000388,O0000202,P0540,1,1067.25,9.26,98.83,968.42
OI0000389,O0000203,P0114,1,315.13,6.65,20.96,294.17
OI0000390,O0000204,P0396,2,1219.11,16.23,395.72,2042.5
OI0000391,O0000205,P0132,1,1451.89,12.98,188.46,1263.43
OI0000392,O0000205,P0997,2,1151.31,6.65,153.12,2149.5
OI0000393,O0000205,P0054,1,1366.66,10.38,141.86,1224.8
OI0000394,O0000206,P1144,1,574.23,0,0.0,574.23
OI0000395,O0000207,P0191,2,816.8,7.04,115.01,1518.59
OI0000396,O0000207,P0957,2,883.22,15.85,279.98,1486.46
OI0000397,O0000207,P1023,1,1359.29,9.41,127.91,1231.38
OI0000398,O0000208,P0036,1,1132.46,16.52,187.08,945.38
OI0000399,O0000208,P0324,1,997.1,14.69,146.47,850.63
OI0000400,O0000209,P1154,3,582.54,7.64,133.52,1614.1
OI0000401,O0000210,P0186,1,1278.54,14.13,180.66,1097.88
OI0000402,O0000211,P0600,1,493.99,22.86,112.93,381.06
OI0000403,O0000212,P1094,1,732.48,4.61,33.77,698.71
OI0000404,O0000212,P0850,1,588.43,9.77,57.49,530.94
OI0000405,O0000212,P1196,2,500.19,13.94,139.45,860.93
OI0000406,O0000213,P0181,1,1371.52,22.46,308.04,1063.48
OI0000407,O0000213,P0198,2,1195.64,6.78,162.13,2229.15
OI0000408,O0000214,P1433,1,1444.21,23.12,333.9,1110.31
OI0000409,O0000214,P1479,1,1161.19,14.39,167.1,994.09
OI0000410,O0000214,P0721,3,1160.7,10.02,348.91,3133.19
OI0000411,O0000215,P0447,1,988.41,10.74,106.16,882.25
OI0000412,O0000216,P0235,1,1382.79,11.79,163.03,1219.76
OI0000413,O0000217,P0764,1,727.46,15.95,116.03,611.43
