payment_id,order_id,payment_datetime,payment_method,amount,payment_status
PAY0000037,O0000037,2025-10-30 17:33:49,NetBanking,1376.36,Paid
PAY0000038,O0000038,2025-04-09 20:38:18,Card,1135.92,Paid
PAY0000039,O0000039,2025-07-10 15:13:49,UPI,973.33,Paid
PAY0000040,O0000040,2024-03-06 03:40:50,COD,2362.71,Paid
PAY0000041,O0000041,2026-02-15 06:20:31,NetBanking,939.43,Failed
PAY0000042,O0000042,2024-11-15 09:19:35,UPI,815.81,Paid
PAY0000043,O0000043,2024-02-27 01:17:37,NetBanking,435.5,Paid
PAY0000044,O0000044,2026-07-09 01:35:58,UPI,2382.75,Pending
PAY0000045,O0000045,2025-07-09 23:18:26,COD,2014.99,Paid
PAY0000046,O0000046,2025-01-25 15:13:54,Card,918.13,Paid
PAY0000047,O0000047,2026-03-01 16:48:26,COD,1700.72,Paid
PAY0000048,O0000048,2025-05-02 19:25:38,COD,3750.56,Paid
PAY0000049,O0000049,2025-02-10 17:49:44,UPI,319.9,Paid
PAY0000050,O0000050,2024-02-18 10:14:06,NetBanking,1797.96,Paid
PAY0000051,O0000051,2026-02-22 03:10:22,Wallet,992.45,Paid
PAY0000052,O0000052,2024-10-21 16:24:07,Card,270.87,Paid
PAY0000053,O0000053,2024-07-10 10:52:45,NetBanking,421.63,Paid
PAY0000054,O0000054,2024-05-31 13:50:44,COD,1258.6,Paid
PAY0000055,O0000055,2025-11-27 23:36:07,UPI,351.64,Paid
PAY0000056,O0000056,2024-11-08 08:14:37,NetBanking,505.89,Paid
PAY0000057,O0000057,2026-06-29 15:25:55,NetBanking,1397.68,Paid
PAY0000058,O0000058,2024-05-24 05:39:55,Card,4740.97,Paid
PAY0000059,O0000059,2026-07-16 00:07:44,Wallet,3793.67,Paid
PAY0000060,O0000060,2025-03-19 14:52:10,Wallet,1400.57,Paid
PAY0000061,O0000061,2026-03-08 01:42:40,NetBanking,1361.47,Paid
PAY0000062,O0000062,2025-08-04 13:49:59,Wallet,1290.39,Paid
PAY0000063,O0000063,2024-09-22 21:33:52,Wallet,398.83,Paid
PAY0000064,O0000064,2024-05-02 15:47:56,NetBanking,369.22,Paid
PAY0000065,O0000065,2024-06-16 08:44:10,UPI,3219.67,Paid
PAY0000066,O0000066,2026-08-25 20:28:26,UPI,4209.71,Paid
PAY0000067,O0000067,2024-11-12 18:17:26,COD,2437.18,Paid
PAY0000068,O0000068,2025-12-30 11:48:57,UPI,502.41,Failed
PAY0000069,O0000069,2025-04-23 07:39:49,NetBanking,3594.61,Paid
PAY0000070,O0000070,2025-04-08 09:03:39,NetBanking,4899.45,Paid
PAY0000071,O0000071,2024-01-27 03:53:28,Card,176.63,Paid
PAY0000072,O0000072,2026-06-26 18:16:32,UPI,1659.56,Paid
PAY0000073,O0000073,2024-07-13 16:21:43,NetBanking,2201.98,Paid
PAY0000074,O0000074,2024-05-02 20:20:43,Card,783.16,Paid
PAY0000075,O0000075,2024-01-05 21:06:07,COD,3926.57,Paid
PAY0000076,O0000076,2024-12-30 03:01:06,Card,1538.63,Failed
PAY0000077,O0000077,2025-10-16 06:10:49,COD,5621.1,Paid
PAY0000078,O0000078,2024-06-23 12:31:02,Wallet,5114.27,Failed
PAY0000079,O0000079,2024-05-23 16:44:01,UPI,2332.72,Paid
PAY0000080,O0000080,2026-04-04 20:03:10,COD,752.48,Paid
PAY0000081,O0000081,2025-08-27 04:40:11,Wallet,756.42,Paid
PAY0000082,O0000082,2025-11-02 21:37:35,NetBanking,2876.38,Failed
PAY0000083,O0000083,2024-09-03 19:25:41,NetBanking,964.08,Paid
PAY0000084,O0000084,2024-07-29 16:18:29,Wallet,2523.44,Paid
PAY0000085,O0000085,2026-05-04 09:44:59,NetBanking,1338.77,Paid
PAY0000086,O0000086,2024-07-09 21:54:28,COD,1169.85,Paid
PAY0000087,O0000087,2024-03-18 07:22:27,Wallet,1164.53,Paid
PAY0000088,O0000088,2026-01-06 01:25:29,UPI,1641.69,Pending
PAY0000089,O0000089,2024-03-02 04:38:28,NetBanking,935.16,Paid
PAY0000090,O0000090,2026-07-21 08:03:25,NetBanking,1750.06,Paid
PAY0000091,O0000091,2025-01-15 16:08:47,COD,1621.68,Paid
PAY0000092,O0000092,2024-05-06 00:00:42,Card,3398.15,Paid
PAY0000093,O0000093,2026-02-11 07:03:45,COD,922.57,Paid
PAY0000094,O0000094,2025-11-14 01:29:21,COD,435.23,Paid
PAY0000095,O0000095,2026-01-07 09:52:15,NetBanking,725.83,Paid
PAY0000096,O0000096,2025-02-28 04:09:14,UPI,536.78,Paid
PAY0000097,O0000097,2025-09-27 12:51:19,NetBanking,938.94,Paid
PAY0000098,O0000098,2024-05-15 05:16:00,NetBanking,662.86,Failed
PAY0000099,O0000099,2025-08-05 19:09:55,COD,1066.14,Paid
PAY0000100,O0000100,2026-06-18 14:46:57,Wallet,1127.3,Paid
PAY0000101,O0000101,2026-04-19 21:01:38,Card,4272.45,Paid
PAY0000102,O0000102,2025-09-01 14:22:40,Card,2814.52,Paid
PAY0000103,O0000103,2025-03-01 04:29:34,UPI,1673.65,Paid
PAY0000104,O0000104,2024-04-07 18:34:13,Card,2229.51,Paid
PAY0000105,O0000105,2025-08-25 19:05:18,Card,2510.33,Failed
PAY0000106,O0000106,2025-06-13 18:56:22,Wallet,608.82,Paid
PAY0000107,O0000107,2025-07-16 12:18:40,COD,5466.05,Paid
PAY0000108,O0000108,2025-09-09 07:23:19,COD,5609.19,Paid
PAY0000109,O0000109,2026-08-19 10:47:05,COD,4873.73,Paid
PAY0000110,O0000110,2024-03-28 00:45:32,Card,1183.66,Paid
PAY0000111,O0000111,2025-07-11 06:22:15,COD,4198.13,Paid
PAY0000112,O0000112,2024-06-08 13:07:09,UPI,4013.8,Paid
PAY0000113,O0000113,2025-04-29 16:04:05,COD,2481.62,Paid
PAY0000114,O0000114,2025-09-22 19:08:28,COD,3886.94,Paid
PAY0000115,O0000115,2024-12-31 16:07:58,Card,3752.23,Paid
PAY0000116,O0000116,2024-11-11 14:57:43,NetBanking,1020.87,Paid
PAY0000117,O0000117,2024-10-29 22:36:12,Card,2656.81,Paid
PAY0000118,O0000118,2026-06-17 23:53:56,NetBanking,3488.68,Paid
PAY0000119,O0000119,2026-07-30 01:07:17,COD,4282.87,Paid
PAY0000120,O0000120,2025-06-13 23:58:28,Card,704.41,Paid
PAY0000121,O0000121,2025-07-15 10:22:12,Card,2342.9,Paid
PAY0000122,O0000122,2026-03-27 23:04:52,COD,1490.06,Failed
PAY0000123,O0000123,2025-01-26 00:36:04,COD,3839.61,Paid
PAY0000124,O0000124,2026-08-23 04:04:28,Card,834.38,Pending
PAY0000125,O0000125,2024-09-07 22:36:18,COD,1942.12,Paid
PAY0000126,O0000126,2024-06-24 00:49:37,UPI,1486.24,Paid
PAY0000127,O0000127,2026-02-01 13:12:09,Wallet,4655.45,Paid
PAY0000128,O0000128,2024-01-23 02:12:38,NetBanking,1105.46,Failed
PAY0000129,O0000129,2024-06-29 07:03:01,Card,2192.35,Paid
PAY0000130,O0000130,2026-04-14 13:54:04,NetBanking,700.14,Paid
PAY0000131,O0000131,2024-06-27 13:55:51,NetBanking,5771.77,Paid
PAY0000132,O0000132,2026-02-23 12:49:26,UPI,1131.2,Paid
PAY0000133,O0000133,2025-07-04 03:10:17,Card,4185.33,Paid
PAY0000134,O0000134,2024-08-29 00:12:43,Wallet,3271.75,Paid
PAY0000135,O0000135,2024-04-02 05:52:05,Wallet,677.77,Pending
PAY0000136,O0000136,2026-05-07 20:18:12,Wallet,1186.37,Paid
PAY0000137,O0000137,2024-04-18 15:38:59,UPI,3522.22,Paid
PAY0000138,O0000138,2026-06-05 04:55:55,NetBanking,2381.71,Paid
PAY0000139,O0000139,2026-05-20 20:37:36,COD,2389.27,Paid
PAY0000140,O0000140,2024-11-16 02:10:25,COD,288.77,Paid
PAY0000141,O0000141,2025-08-03 17:08:36,Wallet,4044.33,Paid
PAY0000142,O0000142,2024-03-19 02:39:30,Wallet,894.0,Paid
PAY0000143,O0000143,2024-07-28 16:04:43,UPI,514.36,Paid
PAY0000144,O0000144,2025-10-28 03:35:30,Card,556.2,Paid
PAY0000145,O0000145,2026-02-23 17:02:41,NetBanking,2360.9,Paid
PAY0000146,O0000146,2024-02-20 20:16:03,Wallet,4681.39,Paid
PAY0000147,O0000147,2025-10-06 19:05:01,Card,596.55,Paid
PAY0000148,O0000148,2025-04-27 06:46:14,Card,2332.05,Paid
PAY0000149,O0000149,2025-07-06 13:49:04,UPI,1674.09,Paid
PAY0000150,O0000150,2025-09-19 07:59:03,Card,531.93,Paid
PAY0000151,O0000151,2025-03-11 13:48:22,COD,1433.54,Pending
PAY0000152,O0000152,2024-09-02 19:59:42,COD,244.07,Paid
PAY0000153,O0000153,2025-02-18 17:24:18,Wallet,1966.78,Paid
PAY0000154,O0000154,2026-04-04 14:31:21,NetBanking,1751.58,Paid
PAY0000155,O0000155,2025-08-26 07:38:27,NetBanking,1028.32,Paid
PAY0000156,O0000156,2024-08-13 17:23:22,NetBanking,2531.84,Paid
PAY0000157,O0000157,2024-05-04 08:39:21,Wallet,1806.06,Paid
PAY0000158,O0000158,2024-07-15 07:58:02,COD,3259.91,Paid
PAY0000159,O0000159,2025-11-18 16:59:29,Card,703.17,Paid
PAY0000160,O0000160,2024-06-29 15:54:13,Card,2250.44,Paid
PAY0000161,O0000161,2024-07-05 03:08:14,UPI,691.43,Pending
PAY0000162,O0000162,2024-04-20 05:08:53,UPI,4528.37,Paid
PAY0000163,O0000163,2026-02-10 07:14:27,UPI,3301.87,Paid
PAY0000164,O0000164,2025-01-15 01:16:17,NetBanking,2503.34,Paid
PAY0000165,O0000165,2024-10-15 21:45:19,NetBanking,2473.38,Failed
PAY0000166,O0000166,2026-02-23 23:31:27,Wallet,2383.96,Paid
PAY0000167,O0000167,2024-06-10 12:50:15,Wallet,3600.0,Paid
PAY0000168,O0000168,2024-09-04 23:32:25,NetBanking,1202.41,Paid
PAY0000169,O0000169,2026-04-23 18:57:32,NetBanking,771.4,Paid
PAY0000170,O0000170,2025-02-05 05:29:00,Wallet,1626.96,Paid
PAY0000171,O0000171,2025-06-13 14:08:21,NetBanking,241.93,Paid
PAY0000172,O0000172,2025-06-26 12:12:57,COD,679.74,Paid
PAY0000173,O0000173,2025-10-13 19:50:52,UPI,3390.14,Paid
PAY0000174,O0000174,2025-11-09 04:03:03,UPI,2014.13,Paid
PAY0000175,O0000175,2024-08-05 14:30:50,UPI,1773.68,Paid
PAY0000176,O0000176,2025-01-25 07:31:22,Wallet,8829.46,Paid
PAY0000177,O0000177,2025-11-14 20:01:26,NetBanking,5256.5,Paid
PAY0000178,O0000178,2025-11-21 03:37:00,Card,255.43,Paid
PAY0000179,O0000179,2025-08-06 14:39:08,Card,923.59,Paid
PAY0000180,O0000180,2024-12-20 14:39:54,COD,4718.03,Paid
PAY0000181,O0000181,2025-04-18 17:40:44,NetBanking,574.0,Paid
PAY0000182,O0000182,2025-04-24 21:51:28,UPI,3918.06,Paid
PAY0000183,O0000183,2025-02-28 21:19:38,COD,67.15,Paid
PAY0000184,O0000184,2026-02-01 15:04:04,Card,387.1,Paid
PAY0000185,O0000185,2026-01-25 02:23:19,COD,2539.03,Paid
PAY0000186,O0000186,2026-05-05 13:55:31,UPI,1134.22,Pending
PAY0000187,O0000187,2025-05-26 07:36:07,COD,1328.69,Paid
PAY0000188,O0000188,2025-03-03 12:51:51,UPI,5152.34,Paid
PAY0000189,O0000189,2024-06-18 06:14:43,NetBanking,1997.48,Paid
PAY0000190,O0000190,2024-05-02 16:10:16,UPI,852.04,Paid
PAY0000191,O0000191,2025-12-31 10:36:58,Card,2648.01,Paid
PAY0000192,O0000192,2024-05-27 10:16:18,Wallet,960.16,Paid
PAY0000193,O0000193,2025-09-10 14:57:19,UPI,2269.07,Paid
PAY0000194,O0000194,2024-04-10 22:38:11,Wallet,1543.45,Failed
PAY0000195,O0000195,2026-06-12 05:39:56,UPI,2710.02,Failed
PAY0000196,O0000196,2025-10-14 04:05:59,NetBanking,2512.54,Paid
PAY0000197,O0000197,2025-10-20 07:27:08,COD,1110.41,Paid
PAY0000198,O0000198,2024-08-26 17:21:04,Wallet,3703.04,Pending
PAY0000199,O0000199,2024-09-01 07:33:30,UPI,1996.51,Paid
PAY0000200,O0000200,2025-04-19 02:20:24,NetBanking,345.38,Paid
PAY0000201,O0000201,2025-03-13 02:04:02,NetBanking,2870.34,Paid
PAY0000202,O0000202,2025-09-17 14:38:06,NetBanking,968.42,Paid
PAY0000203,O0000203,2024-03-15 00:48:53,Card,443.17,Paid
PAY0000204,O0000204,2024-03-08 00:32:55,Wallet,2091.5,Paid
PAY0000205,O0000205,2025-11-20 20:06:40,COD,4637.73,Paid
PAY0000206,O0000206,2026-07-11 00:56:25,NetBanking,653.23,Paid
PAY0000207,O0000207,2026-03-08 12:27:51,COD,4236.43,Paid
PAY0000208,O0000208,2024-10-08 05:52:14,Wallet,1845.0,Paid
PAY0000209,O0000209,2026-01-15 10:46:09,Card,1713.1,Paid
PAY0000210,O0000210,2024-12-10 02:36:38,Card,1196.88,Paid
PAY0000211,O0000211,2025-03-28 09:41:40,COD,430.06,Pending
PAY0000212,O0000212,2025-04-02 19:32:05,Card,2169.58,Paid
PAY0000213,O0000213,2026-01-02 12:27:39,Card,3341.63,Paid
PAY0000214,O0000214,2024-07-15 18:05:08,Wallet,5316.6,Paid
PAY0000215,O0000215,2024-03-25 08:45:23,Card,961.25,Failed
PAY0000216,O0000216,2026-03-09 04:30:54,NetBanking,1298.76,Paid
PAY0000217,O0000217,2026-04-02 08:50:30,COD,690.43,Paid
PAY0000218,O0000218,2025-07-27 22:04:14,NetBanking,1517.69,Paid
PAY0000219,O0000219,2024-04-11 01:08:33,UPI,1329.76,Paid
PAY0000220,O0000220,2024-07-23 02:35:38,NetBanking,126.86,Paid
PAY0000221,O0000221,2024-07-03 18:56:08,NetBanking,2351.93,Paid
PAY0000222,O0000222,2026-03-03 19:42:48,NetBanking,1995.03,Paid
PAY0000223,O0000223,2025-04-20 09:57:22,Wallet,714.77,Paid
PAY0000224,O0000224,2024-07-05 04:27:10,Card,1066.4,Paid
PAY0000225,O0000225,2024-06-20 07:58:38,UPI,436.94,Paid
PAY0000226,O0000226,2025-09-27 16:47:04,COD,4063.95,Paid
PAY0000227,O0000227,2026-08-22 14:00:01,Wallet,1486.63,Pending
PAY0000228,O0000228,2024-06-10 18:45:12,NetBanking,3512.92,Paid
PAY0000229,O0000229,2025-07-23 19:18:04,Card,1374.44,Paid
PAY0000230,O0000230,2026-05-11 10:47:03,COD,1603.45,Paid
PAY0000231,O0000231,2025-08-21 04:36:50,COD,2817.65,Paid
PAY0000232,O0000232,2025-03-06 13:44:31,Card,540.02,Paid
PAY0000233,O0000233,2024-08-27 04:27:06,COD,2614.72,Paid
PAY0000234,O0000234,2024-06-16 17:05:51,UPI,1582.76,Paid
PAY0000235,O0000235,2025-04-28 23:47:14,UPI,819.86,Paid
PAY0000236,O0000236,2024-07-08 03:46:11,UPI,3685.3,Paid
PAY0000237,O0000237,2025-10-18 08:05:50,Wallet,301.09,Paid
PAY0000238,O0000238,2025-04-05 04:55:11,NetBanking,1913.12,Paid
PAY0000239,O0000239,2026-03-08 07:32:51,NetBanking,121.54,Paid
PAY0000240,O0000240,2024-10-02 12:22:39,UPI,5306.25,Paid
PAY0000241,O0000241,2025-05-19 17:35:26,Wallet,1291.98,Paid
PAY0000242,O0000242,2024-09-06 12:00:11,Wallet,3780.58,Paid
PAY0000243,O0000243,2024-09-22 09:36:41,COD,466.41,Paid
PAY0000244,O0000244,2025-08-04 21:55:23,COD,2749.89,Paid
PAY0000245,O0000245,2026-06-21 23:08:07,Card,1240.91,Paid
PAY0000246,O0000246,2026-01-05 21:06:53,UPI,131.32,Paid
PAY0000247,O0000247,2025-11-09 07:31:46,NetBanking,998.92,Paid
PAY0000248,O0000248,2025-11-19 22:36:04,UPI,1359.04,Paid
PAY0000249,O0000249,2024-09-07 07:34:56,NetBanking,1774.61,Paid
PAY0000250,O0000250,2026-08-18 18:21:23,Card,548.28,Paid
PAY0000251,O0000251,2025-02-13 02:15:58,NetBanking,1022.61,Paid
PAY0000252,O0000252,2024-03-15 19:27:59,UPI,1823.4,Paid
PAY0000253,O0000253,2025-10-04 23:35:46,COD,546.72,Paid
PAY0000254,O0000254,2025-11-29 10:23:20,Card,1792.09,Paid
PAY0000255,O0000255,2025-12-17 06:29:50,Card,776.16,Paid
PAY0000256,O0000256,2025-12-02 20:43:40,UPI,2888.24,Paid
PAY0000257,O0000257,2026-08-26 06:57:02,NetBanking,604.26,Paid
PAY0000258,O0000258,2024-06-10 20:47:37,NetBanking,4965.36,Paid
PAY0000259,O0000259,2026-08-09 14:27:56,Card,174.01,Paid
PAY0000260,O0000260,2025-09-09 04:05:46,Card,1067.36,Paid
PAY0000261,O0000261,2026-05-28 16:13:23,Wallet,436.45,Paid
PAY0000262,O0000262,2025-05-21 16:21:00,NetBanking,1323.78,Paid
PAY0000263,O0000263,2025-08-30 08:00:27,Wallet,831.14,Paid
PAY0000264,O0000264,2026-05-23 21:16:49,Card,1719.77,Paid
PAY0000265,O0000265,2026-05-11 08:09:08,COD,1013.05,Pending
PAY0000266,O0000266,2024-08-10 19:15:02,COD,732.04,Paid
PAY0000267,O0000267,2024-08-20 14:23:00,Wallet,1071.91,Paid
PAY0000268,O0000268,2025-12-11 11:53:17,NetBanking,2668.23,Pending
PAY0000269,O0000269,2025-09-23 21:34:43,NetBanking,347.52,Paid
PAY0000270,O0000270,2026-03-11 04:11:19,UPI,876.65,Paid
PAY0000271,O0000271,2024-01-22 14:15:37,Wallet,1975.32,Paid
PAY0000272,O0000272,2024-11-28 14:18:25,NetBanking,671.1,Paid
PAY0000273,O0000273,2025-10-10 18:22:52,COD,5800.74,Paid
PAY0000274,O0000274,2025-02-17 17:08:01,Card,762.92,Paid
PAY0000275,O0000275,2024-09-26 23:03:55,Card,1833.79,Paid
PAY0000276,O0000276,2025-01-20 06:09:11,Card,5922.73,Paid
PAY0000277,O0000277,2024-07-28 11:18:26,UPI,7704.8,Paid
PAY0000278,O0000278,2025-12-10 03:26:27,Card,4236.91,Paid
PAY0000279,O0000279,2024-02-13 07:45:18,UPI,3139.95,Paid
PAY0000280,O0000280,2026-05-08 04:36:05,UPI,2842.22,Paid
PAY0000281,O0000281,2026-04-11 18:28:09,NetBanking,1145.01,Paid
PAY0000282,O0000282,2024-09-15 19:37:40,COD,6729.52,Paid
PAY0000283,O0000283,2026-04-22 16:35:54,Card,341.91,Paid
PAY0000284,O0000284,2025-10-22 10:24:06,UPI,1329.73,Paid
PAY0000285,O0000285,2024-12-31 10:14:51,Card,244.19,Paid
PAY0000286,O0000286,2024-07-13 19:17:10,Card,2245.42,Paid
PAY0000287,O0000287,2024-10-20 19:13:56,Wallet,1835.27,Paid
PAY0000288,O0000288,2024-01-26 17:06:51,UPI,1158.85,Paid
PAY0000289,O0000289,2024-02-16 10:29:28,UPI,423.52,Paid
PAY0000290,O0000290,2025-09-26 16:07:30,UPI,1353.87,Paid
PAY0000291,O0000291,2025-04-28 14:45:20,COD,479.3,Paid
PAY0000292,O0000292,2024-04-12 19:35:14,UPI,1135.15,Paid
PAY0000293,O0000293,2024-10-24 17:02:58,Card,1299.93,Paid
PAY0000294,O0000294,2025-03-30 20:07:49,Wallet,1337.86,Paid
PAY0000295,O0000295,2025-07-11 10:23:17,Card,2873.89,Paid
PAY0000296,O0000296,2026-03-23 05:50:51,NetBanking,228.86,Paid
PAY0000297,O0000297,2025-05-27 14:46:33,NetBanking,3322.09,Paid
PAY0000298,O0000298,2026-03-07 11:56:38,Wallet,2134.7,Failed
PAY0000299,O0000299,2024-08-04 09:08:52,UPI,2380.28,Paid
PAY0000300,O0000300,2026-03-08 01:54:01,UPI,1193.98,Pending
PAY0000301,O0000301,2025-02-24 03:25:04,NetBanking,2674.32,Paid
PAY0000302,O0000302,2026-02-19 09:34:34,Wallet,628.54,Paid
PAY0000303,O0000303,2026-02-28 14:19:53,COD,1884.25,Paid
PAY0000304,O0000304,2025-02-19 15:32:51,UPI,762.8,Paid
PAY0000305,O0000305,2026-07-25 20:17:23,Wallet,950.92,Paid
PAY0000306,O0000306,2025-08-06 13:01:48,UPI,1592.51,Paid
PAY0000307,O0000307,2024-08-19 17:47:20,Card,1556.63,Paid
PAY0000308,O0000308,2025-06-24 11:12:35,Wallet,2090.14,Paid
PAY0000309,O0000309,2026-02-14 22:38:59,NetBanking,700.34,Paid
PAY0000310,O0000310,2024-04-11 19:11:36,NetBanking,1237.69,Failed
PAY0000311,O0000311,2024-09-05 20:06:01,UPI,3144.02,Paid
PAY0000312,O0000312,2026-03-26 02:56:11,UPI,1009.97,Paid
PAY0000313,O0000313,2025-10-06 12:53:15,NetBanking,2174.92,Paid
PAY0000314,O0000314,2026-07-24 17:57:30,COD,1239.18,Paid
PAY0000315,O0000315,2025-05-23 00:33:38,COD,694.34,Paid
PAY0000316,O0000316,2024-09-01 01:37:59,NetBanking,1834.61,Pending
PAY0000317,O0000317,2026-03-26 23:24:08,Card,1044.13,Paid
PAY0000318,O0000318,2026-05-24 03:36:33,COD,202.88,Paid
PAY0000319,O0000319,2026-05-18 18:57:47,UPI,1214.67,Paid
PAY0000320,O0000320,2024-10-12 21:13:37,Card,640.72,Pending
PAY0000321,O0000321,2025-06-02 21:33:26,Card,314.22,Paid
PAY0000322,O0000322,2025-06-30 07:41:28,Card,3301.23,Paid
PAY0000323,O0000323,2025-03-05 10:16:54,COD,4660.89,Paid
PAY0000324,O0000324,2025-01-03 13:08:54,UPI,1919.61,Paid
PAY0000325,O0000325,2025-04-16 17:06:45,COD,1557.79,Failed
PAY0000326,O0000326,2024-12-20 01:00:23,NetBanking,645.56,Paid
PAY0000327,O0000327,2025-05-09 10:36:50,Card,2547.46,Paid
PAY0000328,O0000328,2024-10-01 08:51:48,COD,1841.11,Paid
PAY0000329,O0000329,2025-08-27 11:57:00,UPI,692.64,Paid
PAY0000330,O0000330,2026-04-15 07:22:28,Wallet,891.61,Paid
PAY0000331,O0000331,2024-03-14 07:45:19,Card,1361.85,Paid
PAY0000332,O0000332,2025-07-30 20:02:42,NetBanking,4057.76,Paid
PAY0000333,O0000333,2024-06-07 20:24:43,UPI,929.87,Paid
PAY0000334,O0000334,2025-11-24 07:57:59,Wallet,1710.55,Pending
PAY0000335,O0000335,2025-10-05 03:09:33,Card,177.45,Paid
PAY0000336,O0000336,2026-07-10 20:12:54,Wallet,2611.54,Paid
PAY0000337,O0000337,2025-08-13 06:35:21,NetBanking,4328.25,Paid
PAY0000338,O0000338,2025-09-27 01:27:22,UPI,1442.45,Paid
PAY0000339,O0000339,2025-10-21 03:59:12,UPI,2016.48,Paid
PAY0000340,O0000340,2026-04-18 23:09:33,Card,2849.58,Paid
PAY0000341,O0000341,2026-08-10 14:41:49,COD,3486.79,Paid
PAY0000342,O0000342,2025-09-25 12:33:27,Card,287.25,Paid
PAY0000343,O0000343,2024-11-09 18:07:59,COD,423.83,Paid
PAY0000344,O0000344,2024-01-27 22:28:17,Card,1687.79,Paid
PAY0000345,O0000345,2025-10-21 01:22:06,NetBanking,293.41,Paid
PAY0000346,O0000346,2025-01-04 14:29:55,COD,281.63,Paid
PAY0000347,O0000347,2026-07-27 16:51:35,COD,1070.9,Failed
PAY0000348,O0000348,2025-12-29 00:50:33,COD,1367.09,Paid
PAY0000349,O0000349,2025-07-04 17:11:15,UPI,856.0,Paid
PAY0000350,O0000350,2025-06-29 00:43:08,NetBanking,1410.19,Pending
PAY0000351,O0000351,2025-05-27 23:49:16,COD,538.63,Paid
PAY0000352,O0000352,2025-07-12 07:38:12,COD,266.51,Pending
PAY0000353,O0000353,2026-03-16 16:43:10,NetBanking,2311.28,Paid
PAY0000354,O0000354,2026-08-17 01:44:11,COD,3425.79,Paid
PAY0000355,O0000355,2024-12-12 20:14:18,COD,531.24,Paid
PAY0000356,O0000356,2024-06-21 02:05:41,Wallet,1822.1,Paid
PAY0000357,O0000357,2024-02-21 07:22:21,COD,3785.2,Paid
PAY0000358,O0000358,2026-03-02 02:53:07,COD,4430.08,Paid
PAY0000359,O0000359,2025-06-26 12:39:58,Wallet,3865.01,Paid
PAY0000360,O0000360,2024-05-11 03:57:25,NetBanking,1936.18,Paid
PAY0000361,O0000361,2026-02-05 05:30:47,Wallet,1285.8,Paid
PAY0000362,O0000362,2026-04-06 16:15:32,NetBanking,3004.52,Paid
PAY0000363,O0000363,2024-08-30 08:40:25,NetBanking,1663.81,Paid
PAY0000364,O0000364,2024-09-12 21:44:32,COD,1573.79,Paid
PAY0000365,O0000365,2026-01-24 04:42:06,COD,2300.34,Paid
PAY0000366,O0000366,2024-10-18 08:01:12,NetBanking,2118.19,Paid
PAY0000367,O0000367,2026-01-29 03:28:57,UPI,5973.11,Paid
PAY0000368,O0000368,2025-04-09 20:32:24,Card,2211.61,Paid
