return_id,order_id,product_id,return_reason,refund_amount,return_date
R000151,O0001463,P0298,Late Delivery,2815.69,2026-03-04
R000152,O0001482,P0278,Wrong Item,963.62,2026-06-14
R000153,O0001486,P0751,Defective,516.77,2025-09-03
R000154,O0001490,P1104,Changed Mind,469.55,2026-04-03
R000155,O0001492,P0016,Changed Mind,1244.81,2025-03-13
R000156,O0001494,P0800,Changed Mind,1055.02,2024-09-30
R000157,O0001494,P0508,Defective,3856.02,2024-09-24
R000158,O0001500,P0105,Wrong Item,1193.19,2026-03-09
R000159,O0001502,P1192,Changed Mind,782.97,2025-02-08
R000160,O0001516,P0313,Wrong Item,452.33,2025-08-15
R000161,O0001516,P1222,Defective,2891.79,2025-08-08
R000162,O0001519,P1417,Changed Mind,132.74,2024-08-20
R000163,O0001530,P1489,Wrong Item,1048.11,2024-09-16
R000164,O0001530,P0742,Late Delivery,752.61,2024-09-06
R000165,O0001554,P0773,Wrong Item,47.74,2025-03-01
R000166,O0001554,P0760,Late Delivery,1072.38,2025-03-18
R000167,O0001567,P0479,Defective,882.45,2024-03-03
R000168,O0001567,P1146,Changed Mind,1136.09,2024-03-12
R000169,O0001567,P1243,Late Delivery,1172.95,2024-03-02
R000170,O0001604,P0055,Wrong Item,1896.44,2025-10-11
R000171,O0001604,P0381,Late Delivery,509.62,2025-10-17
R000172,O0001646,P0089,Wrong Item,833.44,2025-05-30
R000173,O0001652,P1111,Late Delivery,936.63,2024-06-23
R000174,O0001694,P0968,Changed Mind,992.42,2026-01-23
R000175,O0001694,P0417,Changed Mind,41.77,2026-01-22
R000176,O0001711,P1427,Changed Mind,751.17,2024-02-12
R000177,O0001715,P1215,Wrong Item,503.3,2025-06-01
R000178,O0001715,P0333,Late Delivery,3914.14,2025-06-02
R000179,O0001715,P1034,Late Delivery,872.22,2025-05-25
R000180,O0001723,P0665,Changed Mind,93.53,2025-05-11
R000181,O0001736,P1141,Late Delivery,722.42,2026-05-07
R000182,O0001742,P0193,Changed Mind,467.55,2025-08-01
R000183,O0001742,P0650,Defective,749.81,2025-08-01
R000184,O0001742,P1402,Defective,667.51,2025-08-03
R000185,O0001755,P1101,Changed Mind,452.44,2026-06-09
R000186,O0001755,P0342,Late Delivery,797.97,2026-06-10
R000187,O0001755,P0873,Wrong Item,1275.21,2026-06-02
R000188,O0001755,P0954,Defective,337.89,2026-06-03
R000189,O0001769,P1027,Defective,1802.9,2026-04-21
R000190,O0001774,P0057,Late Delivery,2068.2,2025-03-26
R000191,O0001774,P0644,Defective,550.89,2025-03-27
R000192,O0001775,P0967,Defective,565.53,2024-11-02
R000193,O0001786,P0563,Defective,154.93,2024-06-27
R000194,O0001799,P0257,Late Delivery,682.16,2024-06-04
R000195,O0001821,P0937,Defective,153.86,2025-05-13
R000196,O0001821,P0278,Changed Mind,894.21,2025-05-27
R000197,O0001833,P0226,Late Delivery,273.07,2025-03-20
R000198,O0001833,P0493,Defective,847.21,2025-03-15
R000199,O0001845,P1328,Wrong Item,919.02,2024-08-24
R000200,O0001855,P0834,Wrong Item,1856.82,2025-09-07
R000201,O0001881,P1156,Late Delivery,295.76,2024-02-13
R000202,O0001913,P0257,Defective,837.9,2024-04-22
R000203,O0001913,P1460,Late Delivery,1113.18,2024-04-11
R000204,O0001913,P0017,Changed Mind,166.97,2024-04-20
R000205,O0001939,P0813,Wrong Item,911.6,2024-11-23
R000206,O0001939,P0566,Defective,1093.66,2024-12-02
R000207,O0001939,P0975,Defective,413.98,2024-11-28
R000208,O0001939,P1478,Late Delivery,924.27,2024-12-05
R000209,O0001942,P0228,Late Delivery,1383.01,2025-08-01
R000210,O0001942,P1037,Late Delivery,582.42,2025-08-03
R000211,O0001942,P1177,Defective,1197.37,2025-08-02
R000212,O0001956,P1029,Changed Mind,317.19,2024-06-08
R000213,O0001961,P0857,Late Delivery,835.11,2024-12-20
R000214,O0001973,P0652,Wrong Item,478.66,2025-03-08
R000215,O0001973,P1143,Wrong Item,1040.73,2025-03-03
R000216,O0001973,P1359,Wrong Item,858.13,2025-03-10
R000217,O0001979,P0155,Wrong Item,1148.2,2025-01-11
R000218,O0001983,P0919,Late Delivery,1174.44,2026-04-16
R000219,O0001983,P0577,Defective,256.96,2026-04-07
R000220,O0001983,P0789,Defective,1122.73,2026-04-11
R000221,O0001997,P0441,Wrong Item,2020.65,2025-02-24
R000222,O0001998,P0850,Changed Mind,997.27,2024-10-01
R000223,O0002015,P1237,Changed Mind,767.18,2025-08-26
R000224,O0002015,P0518,Late Delivery,771.09,2025-08-31
R000225,O0002016,P0106,Wrong Item,1149.06,2025-09-19
R000226,O0002027,P0481,Late Delivery,205.55,2024-05-03
R000227,O0002027,P0758,Wrong Item,707.97,2024-04-27
R000228,O0002028,P1416,Changed Mind,1768.86,2026-05-09
R000229,O0002029,P0753,Wrong Item,1361.36,2025-11-20
R000230,O0002053,P0612,Defective,1090.86,2025-02-13
R000231,O0002068,P0158,Wrong Item,342.65,2025-05-03
R000232,O0002092,P0746,Defective,1255.43,2026-09-05
R000233,O0002110,P0604,Wrong Item,557.47,2026-07-30
R000234,O0002125,P0819,Late Delivery,363.62,2024-05-26
R000235,O0002146,P1243,Changed Mind,5744.84,2026-06-21
R000236,O0002147,P0133,Changed Mind,2019.11,2024-11-29
R000237,O0002159,P0964,Late Delivery,345.82,2026-07-15
R000238,O0002159,P0305,Defective,1381.67,2026-07-15
R000239,O0002162,P0729,Wrong Item,1130.9,2026-04-26
R000240,O0002163,P1350,Changed Mind,1480.09,2025-08-01
R000241,O0002167,P0403,Wrong Item,39.14,2025-11-15
R000242,O0002193,P0209,Wrong Item,781.44,2025-01-09
R000243,O0002193,P1162,Defective,197.42,2025-01-22
R000244,O0002193,P1347,Defective,782.95,2025-01-17
R000245,O0002220,P0772,Wrong Item,903.26,2024-05-02
R000246,O0002225,P1029,Changed Mind,213.39,2026-04-15
R000247,O0002237,P1450,Changed Mind,114.78,2025-12-05
R000248,O0002237,P1120,Wrong Item,634.79,2025-12-17
R000249,O0002240,P0234,Wrong Item,44.03,2026-07-16
R000250,O0002242,P0405,Defective,480.0,2024-08-11
R000251,O0002242,P0109,Defective,2353.65,2024-08-09
R000252,O0002243,P0581,Defective,313.03,2026-02-08
R000253,O0002243,P1004,Late Delivery,1176.77,2026-02-05
R000254,O0002281,P0762,Changed Mind,701.18,2024-08-01
R000255,O0002281,P0492,Wrong Item,5473.76,2024-07-31
R000256,O0002281,P0171,Late Delivery,1075.42,2024-08-05
R000257,O0002299,P0876,Defective,977.53,2024-03-30
R000258,O0002300,P0994,Late Delivery,978.29,2024-09-26
R000259,O0002307,P0729,Wrong Item,1102.4,2025-08-30
R000260,O0002349,P0844,Late Delivery,2562.28,2024-01-30
R000261,O0002349,P0255,Late Delivery,789.09,2024-02-10
R000262,O0002349,P0523,Changed Mind,966.49,2024-02-04
R000263,O0002395,P0321,Defective,1146.06,2025-06-10
R000264,O0002446,P0763,Changed Mind,1507.93,2025-01-14
R000265,O0002446,P0596,Changed Mind,844.63,2025-01-12
R000266,O0002446,P0958,Wrong Item,289.35,2025-01-15
R000267,O0002446,P0235,Changed Mind,1382.79,2025-01-22
R000268,O0002447,P1269,Late Delivery,635.63,2026-04-21
R000269,O0002449,P0634,Late Delivery,150.82,2025-07-26
R000270,O0002449,P0498,Changed Mind,42.81,2025-07-20
R000271,O0002533,P0258,Late Delivery,466.09,2026-03-02
R000272,O0002533,P1060,Wrong Item,712.87,2026-03-13
R000273,O0002564,P0161,Wrong Item,1297.01,2024-11-29
R000274,O0002564,P0254,Changed Mind,81.13,2024-12-03
R000275,O0002564,P0799,Late Delivery,756.3,2024-11-19
R000276,O0002583,P0215,Changed Mind,2467.11,2025-12-03
R000277,O0002598,P0159,Defective,926.93,2024-09-13
R000278,O0002628,P0009,Changed Mind,705.08,2025-03-02
R000279,O0002631,P0208,Changed Mind,2025.58,2024-01-18
R000280,O0002655,P0920,Late Delivery,278.83,2025-11-24
R000281,O0002659,P0285,Defective,224.95,2025-08-21
R000282,O0002659,P1140,Wrong Item,240.94,2025-08-22
R000283,O0002659,P0505,Defective,1428.98,2025-08-17
R000284,O0002689,P0301,Wrong Item,755.57,2024-02-27
R000285,O0002689,P0749,Defective,2035.93,2024-03-11
R000286,O0002689,P1048,Wrong Item,50.26,2024-03-09
R000287,O0002690,P0428,Defective,1136.97,2025-06-29
R000288,O0002702,P0740,Late Delivery,19.27,2026-02-09
R000289,O0002728,P0279,Wrong Item,927.56,2026-07-04
R000290,O0002756,P1329,Wrong Item,1476.3,2026-04-03
R000291,O0002766,P0197,Defective,1120.57,2024-12-03
R000292,O0002766,P1092,Changed Mind,2201.86,2024-11-21
R000293,O0002778,P0010,Changed Mind,1233.75,2025-06-13
R000294,O0002778,P0419,Late Delivery,824.45,2025-06-15
R000295,O0002796,P1024,Wrong Item,3714.07,2026-06-22
R000296,O0002821,P1356,Defective,2933.92,2024-07-20
R000297,O0002843,P0388,Late Delivery,416.23,2025-04-20
R000298,O0002843,P1262,Late Delivery,1146.88,2025-05-05
R000299,O0002866,P0290,Late Delivery,592.0,2026-05-29
R000300,O0002866,P1066,Changed Mind,211.17,2026-05-19
R000301,O0002926,P0963,Defective,599.35,2026-01-27
R000302,O0002926,P0576,Changed Mind,84.93,2026-02-04
R000303,O0002926,P0568,Wrong Item,546.31,2026-01-17
R000304,O0002930,P1085,Late Delivery,1270.36,2024-02-27
R000305,O0002939,P0258,Defective,496.02,2026-08-07
R000306,O0002939,P0089,Defective,866.78,2026-07-29
R000307,O0002939,P0370,Changed Mind,4825.37,2026-07-25
R000308,O0002939,P0652,Late Delivery,181.77,2026-08-08
R000309,O0002966,P0276,Defective,834.53,2024-07-18
R000310,O0002966,P1271,Changed Mind,528.37,2024-07-17
R000311,O0002966,P1095,Wrong Item,1146.96,2024-07-18
R000312,O0002966,P0039,Changed Mind,1115.09,2024-07-16
R000313,O0002972,P0525,Wrong Item,1588.63,2025-12-02
R000314,O0002972,P1267,Wrong Item,1027.1,2025-11-24
R000315,O0002996,P0669,Late Delivery,2112.34,2026-07-04
R000316,O0003020,P1118,Late Delivery,906.16,2025-12-15
R000317,O0003020,P1229,Changed Mind,2032.45,2025-12-11
R000318,O0003058,P0800,Changed Mind,800.13,2024-07-30
R000319,O0003058,P1083,Defective,1136.51,2024-07-27
R000320,O0003058,P0718,Defective,233.37,2024-08-03
R000321,O0003059,P0239,Late Delivery,300.08,2024-11-16
R000322,O0003069,P1186,Changed Mind,773.27,2025-03-03
R000323,O0003074,P0107,Changed Mind,1249.59,2026-04-22
R000324,O0003081,P0371,Changed Mind,225.69,2026-02-27
R000325,O0003081,P0993,Wrong Item,1025.01,2026-02-25
R000326,O0003081,P1162,Changed Mind,180.66,2026-03-09
R000327,O0003088,P1456,Wrong Item,344.1,2024-02-02
R000328,O0003088,P1238,Late Delivery,814.81,2024-02-01
R000329,O0003097,P1069,Late Delivery,1068.21,2026-07-25
R000330,O0003104,P0368,Changed Mind,904.33,2024-08-14
R000331,O0003135,P0199,Wrong Item,830.15,2025-06-19
R000332,O0003159,P0858,Changed Mind,108.27,2024-01-19
R000333,O0003159,P0623,Wrong Item,165.99,2024-01-17
R000334,O0003159,P1135,Wrong Item,970.28,2024-01-26
R000335,O0003168,P0629,Wrong Item,74.67,2025-02-09
R000336,O0003168,P0071,Defective,49.88,2025-02-01
R000337,O0003168,P1108,Changed Mind,275.51,2025-02-01
R000338,O0003168,P0644,Late Delivery,2405.85,2025-02-03
R000339,O0003183,P0653,Late Delivery,208.87,2025-04-01
R000340,O0003183,P0849,Changed Mind,1251.55,2025-03-25
R000341,O0003185,P1222,Wrong Item,974.82,2024-11-09
R000342,O0003185,P0054,Defective,1315.14,2024-11-06
R000343,O0003185,P0521,Changed Mind,665.8,2024-11-13
R000344,O0003185,P0325,Changed Mind,876.55,2024-11-15
R000345,O0003191,P0510,Late Delivery,937.16,2025-05-27
R000346,O0003193,P0421,Defective,117.17,2024-07-14
R000347,O0003193,P0674,Defective,638.56,2024-07-17
R000348,O0003209,P0223,Late Delivery,1369.56,2024-11-30
R000349,O0003209,P1153,Changed Mind,963.29,2024-11-29
R000350,O0003209,P1253,Defective,2613.95,2024-11-16
R000351,O0003209,P0186,Defective,2151.78,2024-11-24
R000352,O0003228,P0141,Defective,1146.42,2024-03-20
R000353,O0003235,P1461,Changed Mind,1228.66,2025-07-11
R000354,O0003235,P1038,Wrong Item,475.72,2025-07-17
R000355,O0003242,P0922,Late Delivery,735.02,2025-06-07
R000356,O0003246,P1336,Changed Mind,116.78,2024-02-29
R000357,O0003254,P0723,Wrong Item,975.18,2026-02-17
R000358,O0003256,P0975,Defective,438.49,2026-04-11
R000359,O0003256,P0088,Late Delivery,1057.86,2026-04-03
R000360,O0003256,P0254,Changed Mind,182.08,2026-04-06
R000361,O0003269,P1149,Defective,693.98,2024-08-02
R000362,O0003300,P0835,Changed Mind,507.83,2025-06-20
R000363,O0003302,P0596,Changed Mind,809.12,2024-03-24
R000364,O0003302,P0375,Wrong Item,807.39,2024-03-25
R000365,O0003323,P1356,Changed Mind,1909.12,2024-05-26
R000366,O0003350,P1423,Changed Mind,236.29,2024-07-05
R000367,O0003357,P0976,Wrong Item,1055.08,2026-04-27
R000368,O0003357,P0921,Wrong Item,899.02,2026-04-20
R000369,O0003368,P0713,Defective,501.4,2025-05-30
R000370,O0003368,P0067,Late Delivery,287.99,2025-06-06
R000371,O0003385,P0794,Defective,929.03,2024-04-09
R000372,O0003385,P0560,Wrong Item,918.33,2024-04-13
R000373,O0003419,P0904,Wrong Item,1866.59,2024-11-05
R000374,O0003419,P0704,Changed Mind,539.44,2024-11-02
R000375,O0003434,P1413,Defective,794.05,2026-07-18
R000376,O0003439,P0337,Late Delivery,746.7,2025-04-29
R000377,O0003439,P0553,Wrong Item,907.6,2025-05-09
R000378,O0003456,P1308,Defective,504.58,2025-09-08
R000379,O0003463,P1311,Late Delivery,1186.57,2026-02-14
R000380,O0003477,P1107,Late Delivery,477.57,2026-03-10
R000381,O0003490,P1286,Defective,1092.6,2024-06-13
R000382,O0003492,P1050,Wrong Item,170.81,2024-06-24
R000383,O0003540,P0342,Changed Mind,777.34,2024-04-04
R000384,O0003574,P0535,Defective,1319.22,2025-08-17
R000385,O0003580,P1185,Late Delivery,82.04,2025-02-16
R000386,O0003589,P1256,Defective,1741.82,2024-04-09
R000387,O0003603,P0467,Wrong Item,156.39,2026-07-16
R000388,O0003603,P0559,Wrong Item,1287.77,2026-07-20
R000389,O0003603,P1338,Late Delivery,1073.21,2026-07-14
R000390,O0003603,P0774,Late Delivery,468.11,2026-07-23
R000391,O0003614,P0613,Wrong Item,312.55,2026-06-15
R000392,O0003614,P0363,Late Delivery,2358.66,2026-06-12
R000393,O0003618,P1068,Late Delivery,1233.19,2024-02-29
R000394,O0003624,P0161,Wrong Item,703.77,2025-06-09
R000395,O0003624,P0908,Defective,515.93,2025-06-07
R000396,O0003627,P0917,Changed Mind,390.86,2025-09-15
R000397,O0003627,P0054,Late Delivery,1026.36,2025-09-24
R000398,O0003677,P0373,Changed Mind,274.44,2026-08-31
R000399,O0003677,P0199,Defective,616.12,2026-08-25
R000400,O0003677,P0421,Wrong Item,267.65,2026-09-01
R000401,O0003723,P1282,Wrong Item,1195.69,2025-09-25
R000402,O0003728,P0571,Late Delivery,1316.91,2024-04-01
R000403,O0003733,P0023,Changed Mind,1114.49,2026-03-31
R000404,O0003733,P0906,Wrong Item,909.59,2026-04-03
R000405,O0003745,P0632,Defective,284.74,2024-01-16
R000406,O0003772,P0322,Defective,904.73,2026-05-03
R000407,O0003782,P1031,Late Delivery,333.25,2026-04-27
R000408,O0003782,P0440,Wrong Item,919.05,2026-05-01
R000409,O0003782,P0413,Late Delivery,768.65,2026-05-03
R000410,O0003793,P0739,Defective,178.92,2024-02-10
R000411,O0003821,P0279,Wrong Item,781.93,2025-04-06
R000412,O0003822,P0569,Defective,2873.09,2024-09-05
R000413,O0003822,P0629,Wrong Item,64.02,2024-09-09
R000414,O0003840,P1284,Changed Mind,650.49,2024-12-24
R000415,O0003847,P1076,Late Delivery,240.3,2025-05-06
R000416,O0003847,P0274,Defective,1025.28,2025-05-14
R000417,O0003876,P0135,Defective,343.55,2024-03-31
R000418,O0003878,P1432,Late Delivery,1396.53,2025-05-29
R000419,O0003886,P1085,Wrong Item,1393.86,2026-07-28
R000420,O0003890,P0727,Changed Mind,133.43,2025-04-24
R000421,O0003927,P1330,Late Delivery,240.17,2026-07-04
R000422,O0003927,P0875,Defective,820.99,2026-06-19
R000423,O0003927,P1348,Changed Mind,2834.03,2026-06-30
R000424,O0003939,P0829,Late Delivery,3234.1,2024-07-20
R000425,O0003941,P0276,Changed Mind,462.37,2024-06-21
R000426,O0003941,P1058,Changed Mind,1412.57,2024-06-30
R000427,O0003956,P0383,Late Delivery,222.01,2024-06-08
R000428,O0003965,P1196,Wrong Item,496.99,2025-01-21
R000429,O0003971,P1452,Late Delivery,2340.59,2024-01-25
R000430,O0004012,P0597,Wrong Item,475.89,2024-03-26
R000431,O0004012,P0580,Late Delivery,476.1,2024-03-19
R000432,O0004012,P0911,Defective,723.17,2024-04-05
R000433,O0004013,P0991,Wrong Item,538.29,2024-05-19
R000434,O0004055,P0460,Defective,998.82,2026-04-09
R000435,O0004055,P1491,Changed Mind,856.63,2026-04-13
R000436,O0004058,P0563,Late Delivery,362.41,2026-03-03
R000437,O0004058,P0580,Wrong Item,549.63,2026-03-12
R000438,O0004080,P0847,Late Delivery,308.7,2026-04-10
R000439,O0004092,P1154,Defective,1446.51,2024-11-15
R000440,O0004092,P1079,Late Delivery,457.9,2024-11-16
R000441,O0004092,P0286,Wrong Item,1238.14,2024-11-13
R000442,O0004098,P0868,Wrong Item,569.97,2025-05-19
R000443,O0004098,P0592,Defective,455.77,2025-05-12
R000444,O0004098,P0815,Late Delivery,1693.47,2025-05-09
R000445,O0004098,P1153,Late Delivery,834.02,2025-05-21
R000446,O0004144,P1359,Changed Mind,862.69,2024-10-30
R000447,O0004181,P1406,Changed Mind,2926.43,2026-01-07
R000448,O0004181,P0216,Defective,509.01,2026-01-22
R000449,O0004182,P0938,Late Delivery,878.88,2026-03-07
R000450,O0004208,P0028,Wrong Item,1222.09,2025-07-03
R000451,O0004208,P1313,Defective,379.88,2025-07-13
R000452,O0004240,P0491,Late Delivery,2082.8,2026-04-06
R000453,O0004240,P0976,Defective,1072.98,2026-04-03
R000454,O0004240,P1424,Defective,1003.11,2026-03-30
R000455,O0004240,P0872,Late Delivery,879.18,2026-04-02
