order_id,customer_id,order_datetime,order_status,sales_channel,payment_method,item_count,gross_sales,net_sales,shipping_fee,order_total,delivery_days
O0000079,CUST10277,2024-05-23 16:44:01,Returned,Referral,UPI,1,2318.67,2183.72,149,2332.72,1
O0000080,CUST04050,2026-04-04 20:03:10,Completed,Organic,COD,1,657.53,603.48,149,752.48,3
O0000081,CUST08401,2025-08-27 04:40:11,Completed,Paid Search,Wallet,1,780.73,707.42,49,756.42,7
O0000082,CUST16639,2025-11-02 21:37:35,Cancelled,Organic,NetBanking,2,2870.96,2777.38,99,2876.38,6
O0000083,CUST01582,2024-09-03 19:25:41,Completed,Referral,NetBanking,1,914.94,865.08,99,964.08,4
O0000084,CUST18458,2024-07-29 16:18:29,Completed,Social,Wallet,2,2785.79,2474.44,49,2523.44,1
O0000085,CUST20848,2026-05-04 09:44:59,Completed,Paid Search,NetBanking,1,1272.35,1189.77,149,1338.77,6
O0000086,CUST11054,2024-07-09 21:54:28,Completed,Social,COD,2,1347.91,1090.85,79,1169.85,3
O0000087,CUST24933,2024-03-18 07:22:27,Completed,Organic,Wallet,1,1330.25,1065.53,99,1164.53,7
O0000088,CUST17989,2026-01-06 01:25:29,Cancelled,Social,UPI,3,1788.96,1562.69,79,1641.69,5
O0000089,CUST13977,2024-03-02 04:38:28,Completed,Paid Search,NetBanking,1,1064.09,836.16,99,935.16,6
O0000090,CUST12173,2026-07-21 08:03:25,Completed,Partner,NetBanking,3,1831.27,1651.06,99,1750.06,4
O0000091,CUST18821,2025-01-15 16:08:47,Completed,Social,COD,1,1780.26,1572.68,49,1621.68,1
O0000092,CUST11553,2024-05-06 00:00:42,Completed,Paid Search,Card,2,4098.17,3319.15,79,3398.15,1
O0000093,CUST02502,2026-02-11 07:03:45,Completed,Partner,COD,1,914.94,843.57,79,922.57,3
O0000094,CUST02522,2025-11-14 01:29:21,Returned,Partner,COD,2,507.48,386.23,49,435.23,4
O0000095,CUST00646,2026-01-07 09:52:15,Completed,Email,NetBanking,2,762.46,725.83,0,725.83,7
O0000096,CUST20323,2025-02-28 04:09:14,Completed,Partner,UPI,1,493.38,437.78,99,536.78,5
O0000097,CUST18524,2025-09-27 12:51:19,Completed,Referral,NetBanking,2,1092.25,889.94,49,938.94,7
O0000098,CUST15197,2024-05-15 05:16:00,Cancelled,Email,NetBanking,1,757.08,583.86,79,662.86,2
O0000099,CUST06128,2025-08-05 19:09:55,Completed,Social,COD,1,1166.42,987.14,79,1066.14,2
O0000100,CUST18593,2026-06-18 14:46:57,Completed,Social,Wallet,1,1130.36,1048.3,79,1127.3,7
O0000101,CUST02508,2026-04-19 21:01:38,Completed,Organic,Card,3,5118.87,4193.45,79,4272.45,5
O0000102,CUST09033,2025-09-01 14:22:40,Completed,Partner,Card,4,3168.56,2715.52,99,2814.52,3
O0000103,CUST20813,2025-03-01 04:29:34,Completed,Organic,UPI,2,1688.23,1524.65,149,1673.65,2
O0000104,CUST03874,2024-04-07 18:34:13,Completed,Partner,Card,1,2836.34,2150.51,79,2229.51,3
O0000105,CUST17555,2025-08-25 19:05:18,Cancelled,Social,Card,3,2780.36,2431.33,79,2510.33,2
O0000106,CUST22956,2025-06-13 18:56:22,Completed,Referral,Wallet,1,608.82,608.82,0,608.82,5
O0000107,CUST12585,2025-07-16 12:18:40,Completed,Partner,COD,3,5968.12,5417.05,49,5466.05,6
O0000108,CUST24819,2025-09-09 07:23:19,Completed,Social,COD,3,5717.98,5560.19,49,5609.19,6
O0000109,CUST14582,2026-08-19 10:47:05,Completed,Social,COD,2,5442.2,4794.73,79,4873.73,2
O0000110,CUST00291,2024-03-28 00:45:32,Completed,Social,Card,1,1440.85,1183.66,0,1183.66,3
O0000111,CUST15543,2025-07-11 06:22:15,Returned,Paid Search,COD,3,4843.25,4049.13,149,4198.13,6
O0000112,CUST18502,2024-06-08 13:07:09,Completed,Organic,UPI,5,4331.87,4013.8,0,4013.8,6
O0000113,CUST21424,2025-04-29 16:04:05,Completed,Social,COD,3,2635.85,2332.62,149,2481.62,3
O0000114,CUST00234,2025-09-22 19:08:28,Completed,Referral,COD,5,4426.8,3837.94,49,3886.94,1
O0000115,CUST10355,2024-12-31 16:07:58,Returned,Referral,Card,1,4071.27,3703.23,49,3752.23,4
O0000116,CUST08215,2024-11-11 14:57:43,Completed,Email,NetBanking,1,1114.11,941.87,79,1020.87,8
O0000117,CUST10702,2024-10-29 22:36:12,Completed,Social,Card,4,2894.09,2656.81,0,2656.81,4
O0000118,CUST13411,2026-06-17 23:53:56,Completed,Organic,NetBanking,1,3897.21,3439.68,49,3488.68,5
O0000119,CUST12118,2026-07-30 01:07:17,Completed,Partner,COD,4,5103.48,4183.87,99,4282.87,6
O0000120,CUST08163,2025-06-13 23:58:28,Completed,Social,Card,1,712.39,625.41,79,704.41,4
O0000121,CUST20716,2025-07-15 10:22:12,Completed,Referral,Card,1,2370.64,2342.9,0,2342.9,2
O0000122,CUST08051,2026-03-27 23:04:52,Cancelled,Social,COD,3,1523.28,1441.06,49,1490.06,5
O0000123,CUST23544,2025-01-26 00:36:04,Completed,Referral,COD,4,4400.31,3740.61,99,3839.61,2
O0000124,CUST24690,2026-08-23 04:04:28,Cancelled,Social,Card,1,883.22,834.38,0,834.38,3
O0000125,CUST03332,2024-09-07 22:36:18,Completed,Partner,COD,1,1863.12,1863.12,79,1942.12,2
O0000126,CUST22813,2024-06-24 00:49:37,Completed,Email,UPI,1,1484.17,1337.24,149,1486.24,3
O0000127,CUST04894,2026-02-01 13:12:09,Completed,Organic,Wallet,5,5053.73,4606.45,49,4655.45,4
O0000128,CUST03872,2024-01-23 02:12:38,Pending,Paid Search,NetBanking,2,1210.34,1026.46,79,1105.46,6
O0000129,CUST06934,2024-06-29 07:03:01,Completed,Referral,Card,3,2377.63,2113.35,79,2192.35,1
O0000130,CUST17324,2026-04-14 13:54:04,Completed,Partner,NetBanking,1,652.53,621.14,79,700.14,2
O0000131,CUST24495,2024-06-27 13:55:51,Completed,Paid Search,NetBanking,2,6627.48,5771.77,0,5771.77,2
O0000132,CUST20552,2026-02-23 12:49:26,Completed,Referral,UPI,1,1205.12,1082.2,49,1131.2,1
O0000133,CUST00860,2025-07-04 03:10:17,Completed,Referral,Card,3,4678.82,4086.33,99,4185.33,6
O0000134,CUST13552,2024-08-29 00:12:43,Completed,Partner,Wallet,1,3642.56,3271.75,0,3271.75,3
O0000135,CUST03845,2024-04-02 05:52:05,Cancelled,Paid Search,Wallet,1,773.53,677.77,0,677.77,5
O0000136,CUST00286,2026-05-07 20:18:12,Completed,Partner,Wallet,1,1328.24,1137.37,49,1186.37,4
O0000137,CUST08061,2024-04-18 15:38:59,Completed,Referral,UPI,4,3694.05,3473.22,49,3522.22,6
O0000138,CUST02160,2026-06-05 04:55:55,Completed,Paid Search,NetBanking,2,2631.45,2232.71,149,2381.71,4
O0000139,CUST09850,2026-05-20 20:37:36,Completed,Organic,COD,1,2327.98,2290.27,99,2389.27,1
O0000140,CUST18307,2024-11-16 02:10:25,Completed,Referral,COD,1,219.11,189.77,99,288.77,6
O0000141,CUST07891,2025-08-03 17:08:36,Completed,Organic,Wallet,3,4708.02,3965.33,79,4044.33,3
O0000142,CUST24431,2024-03-19 02:39:30,Completed,Organic,Wallet,2,1003.11,894.0,0,894.0,4
O0000143,CUST09913,2024-07-28 16:04:43,Completed,Social,UPI,2,617.53,514.36,0,514.36,6
O0000144,CUST08945,2025-10-28 03:35:30,Completed,Partner,Card,1,558.78,507.2,49,556.2,7
O0000145,CUST18946,2026-02-23 17:02:41,Completed,Partner,NetBanking,3,2527.2,2360.9,0,2360.9,4
O0000146,CUST21216,2024-02-20 20:16:03,Completed,Referral,Wallet,3,5001.66,4681.39,0,4681.39,3
O0000147,CUST22268,2025-10-06 19:05:01,Completed,Organic,Card,1,487.47,447.55,149,596.55,4
O0000148,CUST24611,2025-04-27 06:46:14,Completed,Paid Search,Card,2,2542.15,2183.05,149,2332.05,2
O0000149,CUST20772,2025-07-06 13:49:04,Completed,Paid Search,UPI,2,1739.82,1525.09,149,1674.09,5
O0000150,CUST15704,2025-09-19 07:59:03,Completed,Social,Card,1,390.59,382.93,149,531.93,3
O0000151,CUST22386,2025-03-11 13:48:22,Cancelled,Social,COD,2,1732.41,1384.54,49,1433.54,2
O0000152,CUST18469,2024-09-02 19:59:42,Completed,Email,COD,1,108.01,95.07,149,244.07,5
O0000153,CUST11319,2025-02-18 17:24:18,Completed,Paid Search,Wallet,4,2130.06,1917.78,49,1966.78,1
O0000154,CUST02430,2026-04-04 14:31:21,Completed,Email,NetBanking,2,1938.76,1702.58,49,1751.58,8
O0000155,CUST10479,2025-08-26 07:38:27,Completed,Social,NetBanking,1,1131.14,1028.32,0,1028.32,5
O0000156,CUST09448,2024-08-13 17:23:22,Completed,Social,NetBanking,1,2880.04,2531.84,0,2531.84,5
O0000157,CUST24597,2024-05-04 08:39:21,Completed,Referral,Wallet,1,1780.6,1707.06,99,1806.06,5
O0000158,CUST04417,2024-07-15 07:58:02,Completed,Partner,COD,2,3582.05,3259.91,0,3259.91,6
O0000159,CUST02351,2025-11-18 16:59:29,Completed,Referral,Card,2,758.3,703.17,0,703.17,9
O0000160,CUST17228,2024-06-29 15:54:13,Completed,Partner,Card,2,2368.35,2101.44,149,2250.44,3
O0000161,CUST22843,2024-07-05 03:08:14,Pending,Paid Search,UPI,1,804.36,691.43,0,691.43,1
O0000162,CUST14318,2024-04-20 05:08:53,Completed,Social,UPI,4,5030.96,4479.37,49,4528.37,6
O0000163,CUST17302,2026-02-10 07:14:27,Completed,Email,UPI,3,3562.29,3252.87,49,3301.87,2
O0000164,CUST01038,2025-01-15 01:16:17,Completed,Paid Search,NetBanking,2,2863.25,2354.34,149,2503.34,8
O0000165,CUST08392,2024-10-15 21:45:19,Cancelled,Email,NetBanking,3,2723.28,2374.38,99,2473.38,3
O0000166,CUST24296,2026-02-23 23:31:27,Completed,Partner,Wallet,2,2703.78,2334.96,49,2383.96,1
O0000167,CUST02299,2024-06-10 12:50:15,Returned,Social,Wallet,3,3760.2,3551.0,49,3600.0,5
O0000168,CUST21835,2024-09-04 23:32:25,Completed,Paid Search,NetBanking,1,1123.41,1123.41,79,1202.41,3
O0000169,CUST16051,2026-04-23 18:57:32,Completed,Email,NetBanking,1,803.71,771.4,0,771.4,4
O0000170,CUST12976,2025-02-05 05:29:00,Completed,Social,Wallet,2,1568.84,1477.96,149,1626.96,2
O0000171,CUST09428,2025-06-13 14:08:21,Completed,Social,NetBanking,1,269.44,241.93,0,241.93,4
O0000172,CUST12967,2025-06-26 12:12:57,Completed,Paid Search,COD,1,585.1,530.74,149,679.74,3
O0000173,CUST16248,2025-10-13 19:50:52,Completed,Organic,UPI,1,3772.95,3291.14,99,3390.14,1
O0000174,CUST22801,2025-11-09 04:03:03,Completed,Email,UPI,2,2376.67,2014.13,0,2014.13,8
O0000175,CUST20552,2024-08-05 14:30:50,Completed,Referral,UPI,2,1867.92,1724.68,49,1773.68,3
O0000176,CUST12027,2025-01-25 07:31:22,Completed,Organic,Wallet,5,9991.15,8780.46,49,8829.46,2
O0000177,CUST06485,2025-11-14 20:01:26,Completed,Organic,NetBanking,3,5667.88,5157.5,99,5256.5,6
O0000178,CUST16906,2025-11-21 03:37:00,Returned,Partner,Card,1,185.3,156.43,99,255.43,4
O0000179,CUST12209,2025-08-06 14:39:08,Completed,Social,Card,2,1059.28,874.59,49,923.59,3
O0000180,CUST04235,2024-12-20 14:39:54,Completed,Partner,COD,2,5264.96,4669.03,49,4718.03,7
O0000181,CUST17070,2025-04-18 17:40:44,Completed,Partner,NetBanking,1,527.31,475.0,99,574.0,3
O0000182,CUST01981,2025-04-24 21:51:28,Completed,Paid Search,UPI,5,4570.5,3918.06,0,3918.06,1
O0000183,CUST20613,2025-02-28 21:19:38,Returned,Email,COD,1,22.16,18.15,49,67.15,3
O0000184,CUST00805,2026-02-01 15:04:04,Completed,Social,Card,1,265.23,238.1,149,387.1,2
O0000185,CUST14098,2026-01-25 02:23:19,Completed,Email,COD,2,2968.56,2390.03,149,2539.03,9
O0000186,CUST17104,2026-05-05 13:55:31,Cancelled,Social,UPI,1,1247.35,1134.22,0,1134.22,2
O0000187,CUST01101,2025-05-26 07:36:07,Completed,Email,COD,2,1389.68,1249.69,79,1328.69,5
O0000188,CUST16851,2025-03-03 12:51:51,Completed,Organic,UPI,4,5766.58,5053.34,99,5152.34,1
O0000189,CUST03834,2024-06-18 06:14:43,Completed,Organic,NetBanking,2,2202.32,1997.48,0,1997.48,4
O0000190,CUST23293,2024-05-02 16:10:16,Completed,Email,UPI,2,862.01,773.04,79,852.04,3
O0000191,CUST04702,2025-12-31 10:36:58,Returned,Referral,Card,3,2805.37,2648.01,0,2648.01,3
O0000192,CUST05530,2024-05-27 10:16:18,Completed,Referral,Wallet,3,952.28,881.16,79,960.16,5
O0000193,CUST11368,2025-09-10 14:57:19,Returned,Email,UPI,1,2479.14,2190.07,79,2269.07,5
O0000194,CUST08421,2024-04-10 22:38:11,Cancelled,Partner,Wallet,2,1764.4,1444.45,99,1543.45,6
O0000195,CUST11037,2026-06-12 05:39:56,Pending,Social,UPI,3,2949.42,2561.02,149,2710.02,6
O0000196,CUST09271,2025-10-14 04:05:59,Completed,Email,NetBanking,2,2683.47,2413.54,99,2512.54,5
O0000197,CUST23753,2025-10-20 07:27:08,Returned,Organic,COD,1,1239.57,961.41,149,1110.41,7
O0000198,CUST08462,2024-08-26 17:21:04,Cancelled,Organic,Wallet,1,4215.66,3703.04,0,3703.04,2
O0000199,CUST23164,2024-09-01 07:33:30,Completed,Email,UPI,2,2122.93,1917.51,79,1996.51,7
O0000200,CUST24008,2025-04-19 02:20:24,Completed,Referral,NetBanking,1,215.16,196.38,149,345.38,6
O0000201,CUST07204,2025-03-13 02:04:02,Returned,Referral,NetBanking,3,3036.68,2791.34,79,2870.34,5
O0000202,CUST23904,2025-09-17 14:38:06,Returned,Organic,NetBanking,1,1067.25,968.42,0,968.42,8
O0000203,CUST17363,2024-03-15 00:48:53,Completed,Email,Card,1,315.13,294.17,149,443.17,3
O0000204,CUST15374,2024-03-08 00:32:55,Completed,Partner,Wallet,1,2438.22,2042.5,49,2091.5,3
O0000205,CUST07850,2025-11-20 20:06:40,Returned,Organic,COD,3,5121.17,4637.73,0,4637.73,6
O0000206,CUST08115,2026-07-11 00:56:25,Completed,Referral,NetBanking,1,574.23,574.23,79,653.23,3
O0000207,CUST14949,2026-03-08 12:27:51,Completed,Email,COD,3,4759.33,4236.43,0,4236.43,1
O0000208,CUST22531,2024-10-08 05:52:14,Completed,Partner,Wallet,2,2129.56,1796.0,49,1845.0,3
O0000209,CUST06237,2026-01-15 10:46:09,Completed,Organic,Card,1,1747.62,1614.1,99,1713.1,4
O0000210,CUST24036,2024-12-10 02:36:38,Completed,Referral,Card,1,1278.54,1097.88,99,1196.88,3
O0000211,CUST14422,2025-03-28 09:41:40,Cancelled,Paid Search,COD,1,493.99,381.06,49,430.06,6
O0000212,CUST21892,2025-04-02 19:32:05,Completed,Social,Card,3,2321.29,2090.58,79,2169.58,7
O0000213,CUST13882,2026-01-02 12:27:39,Completed,Referral,Card,2,3762.8,3292.63,49,3341.63,1
O0000214,CUST23686,2024-07-15 18:05:08,Completed,Email,Wallet,3,6087.5,5237.6,79,5316.6,3
O0000215,CUST17500,2024-03-25 08:45:23,Pending,Partner,Card,1,988.41,882.25,79,961.25,6
O0000216,CUST05339,2026-03-09 04:30:54,Completed,Organic,NetBanking,1,1382.79,1219.76,79,1298.76,3
O0000217,CUST18036,2026-04-02 08:50:30,Completed,Referral,COD,1,727.46,611.43,79,690.43,4
O0000218,CUST20899,2025-07-27 22:04:14,Returned,Partner,NetBanking,1,1508.82,1468.69,49,1517.69,8
O0000219,CUST05596,2024-04-11 01:08:33,Completed,Social,UPI,2,1454.51,1250.76,79,1329.76,4
O0000220,CUST18856,2024-07-23 02:35:38,Completed,Organic,NetBanking,1,34.64,27.86,99,126.86,4
O0000221,CUST20476,2024-07-03 18:56:08,Completed,Partner,NetBanking,2,2469.71,2252.93,99,2351.93,2
O0000222,CUST15235,2026-03-03 19:42:48,Completed,Referral,NetBanking,1,2052.12,1946.03,49,1995.03,4
O0000223,CUST04275,2025-04-20 09:57:22,Completed,Referral,Wallet,1,665.77,665.77,49,714.77,5
O0000224,CUST09809,2024-07-05 04:27:10,Completed,Partner,Card,1,1145.46,1017.4,49,1066.4,3
O0000225,CUST24867,2024-06-20 07:58:38,Completed,Paid Search,UPI,2,421.02,357.94,79,436.94,5
O0000226,CUST21533,2025-09-27 16:47:04,Returned,Organic,COD,3,4593.61,3914.95,149,4063.95,3
O0000227,CUST19724,2026-08-22 14:00:01,Cancelled,Partner,Wallet,2,1755.73,1407.63,79,1486.63,4
O0000228,CUST23082,2024-06-10 18:45:12,Completed,Partner,NetBanking,3,4062.86,3363.92,149,3512.92,4
O0000229,CUST09456,2025-07-23 19:18:04,Completed,Partner,Card,2,1491.65,1325.44,49,1374.44,3
O0000230,CUST09805,2026-05-11 10:47:03,Completed,Paid Search,COD,1,1657.02,1554.45,49,1603.45,5
O0000231,CUST08081,2025-08-21 04:36:50,Completed,Referral,COD,3,3085.95,2817.65,0,2817.65,5
O0000232,CUST03115,2025-03-06 13:44:31,Completed,Organic,Card,1,475.8,441.02,99,540.02,8
O0000233,CUST21244,2024-08-27 04:27:06,Completed,Partner,COD,2,3099.89,2565.72,49,2614.72,4
O0000234,CUST16760,2024-06-16 17:05:51,Returned,Referral,UPI,2,1491.25,1433.76,149,1582.76,5
O0000235,CUST13318,2025-04-28 23:47:14,Completed,Paid Search,UPI,2,719.39,670.86,149,819.86,3
O0000236,CUST11232,2024-07-08 03:46:11,Completed,Organic,UPI,3,3800.16,3606.3,79,3685.3,2
O0000237,CUST05890,2025-10-18 08:05:50,Completed,Organic,Wallet,1,268.87,252.09,49,301.09,7
O0000238,CUST05938,2025-04-05 04:55:11,Completed,Email,NetBanking,3,2023.33,1764.12,149,1913.12,5
O0000239,CUST24073,2026-03-08 07:32:51,Completed,Social,NetBanking,1,29.22,22.54,99,121.54,3
O0000240,CUST21787,2024-10-02 12:22:39,Completed,Organic,UPI,3,6075.08,5207.25,99,5306.25,2
O0000241,CUST22580,2025-05-19 17:35:26,Completed,Referral,Wallet,2,1516.45,1291.98,0,1291.98,2
O0000242,CUST01844,2024-09-06 12:00:11,Completed,Email,Wallet,3,4458.18,3731.58,49,3780.58,5
O0000243,CUST19073,2024-09-22 09:36:41,Completed,Organic,COD,1,423.35,387.41,79,466.41,6
O0000244,CUST23347,2025-08-04 21:55:23,Completed,Partner,COD,3,3319.33,2700.89,49,2749.89,4
O0000245,CUST12889,2026-06-21 23:08:07,Completed,Partner,Card,1,1234.63,1191.91,49,1240.91,6
O0000246,CUST14507,2026-01-05 21:06:53,Completed,Email,UPI,1,104.08,82.32,49,131.32,4
