campaign_touch_id,customer_id,touch_date,campaign_name,touch_channel,delivered,opened,clicked,converted,spend
CAMP00056,CUST21955,2026-08-05T00:00:00,Winback,SMS,1,0,0,0,3.75
CAMP00057,CUST24823,2025-10-11T00:00:00,Festive Burst,Email,1,1,0,0,1.65
CAMP00058,CUST16701,2025-02-15T00:00:00,Winback,SMS,1,0,0,0,4.38
CAMP00059,CUST21210,2025-10-11T00:00:00,Festive Burst,SMS,1,1,1,1,5.14
CAMP00060,CUST07330,2025-12-08T00:00:00,Retention Plus,Ads,1,0,0,0,5.23
CAMP00061,CUST04851,2026-04-20T00:00:00,Retention Plus,Push,1,0,0,0,2.73
CAMP00062,CUST22198,2025-12-19T00:00:00,Summer Sale,SMS,1,0,0,0,7.4
CAMP00063,CUST00518,2025-10-04T00:00:00,Summer Sale,Email,1,1,1,0,5.37
CAMP00064,CUST10599,2026-08-15T00:00:00,Retention Plus,Ads,1,0,0,0,2.79
CAMP00065,CUST23843,2024-12-06T00:00:00,Festive Burst,Ads,1,0,0,0,6.56
CAMP00066,CUST10261,2024-03-09T00:00:00,Retention Plus,SMS,1,0,0,0,6.65
CAMP00067,CUST04024,2025-01-28T00:00:00,Retention Plus,SMS,1,0,0,0,4.66
CAMP00068,CUST03280,2025-11-28T00:00:00,Winback,SMS,1,1,0,0,0.7
CAMP00069,CUST12274,2024-04-16T00:00:00,Summer Sale,Ads,1,0,0,0,4.84
CAMP00070,CUST14099,2024-06-14T00:00:00,Summer Sale,SMS,1,1,1,0,4.46
CAMP00071,CUST17965,2025-04-15T00:00:00,Cross-Sell Boost,SMS,1,0,0,0,1.4
CAMP00072,CUST03940,2026-04-09T00:00:00,Summer Sale,Push,1,0,0,0,6.56
CAMP00073,CUST08600,2025-02-05T00:00:00,Retention Plus,Ads,1,1,0,0,4.81
CAMP00074,CUST03287,2025-08-19T00:00:00,Winback,SMS,1,0,0,0,1.47
CAMP00075,CUST06328,2026-04-24T00:00:00,Winback,Ads,1,0,0,0,7.05
CAMP00076,CUST02621,2024-02-16T00:00:00,Cross-Sell Boost,Email,1,1,0,0,4.02
CAMP00077,CUST24835,2025-12-17T00:00:00,Winback,Email,1,0,0,0,3.37
CAMP00078,CUST04996,2026-06-21T00:00:00,Festive Burst,Email,1,0,0,0,3.53
CAMP00079,CUST23445,2026-04-16T00:00:00,Winback,Push,1,0,0,0,1.99
CAMP00080,CUST19217,2024-02-04T00:00:00,Summer Sale,SMS,1,1,0,0,1.91
CAMP00081,CUST15745,2024-06-09T00:00:00,Spring Growth,Push,1,0,0,0,0.93
CAMP00082,CUST08259,2024-08-13T00:00:00,Spring Growth,Push,1,0,0,0,3.68
CAMP00083,CUST21247,2024-10-16T00:00:00,Spring Growth,Ads,1,0,0,0,0.61
CAMP00084,CUST12081,2024-04-30T00:00:00,Summer Sale,Push,1,1,0,0,3.13
CAMP00085,CUST20464,2024-03-05T00:00:00,Spring Growth,Push,1,0,0,0,2.0
CAMP00086,CUST07111,2025-11-03T00:00:00,Winback,Push,1,1,0,0,5.7
CAMP00087,CUST07087,2024-02-10T00:00:00,Winback,SMS,1,0,0,0,6.31
CAMP00088,CUST06427,2024-01-18T00:00:00,Cross-Sell Boost,Email,0,0,0,0,6.28
CAMP00089,CUST03410,2024-01-22T00:00:00,Summer Sale,Email,1,0,0,0,5.73
CAMP00090,CUST00768,2024-06-25T00:00:00,Winback,Ads,1,0,0,0,5.67
CAMP00091,CUST03796,2025-05-03T00:00:00,Winback,SMS,1,0,0,0,2.74
CAMP00092,CUST16379,2025-03-31T00:00:00,Festive Burst,Ads,1,1,1,0,1.8
CAMP00093,CUST00505,2025-06-22T00:00:00,Summer Sale,Email,1,0,0,0,4.78
CAMP00094,CUST16233,2026-08-15T00:00:00,Spring Growth,Ads,1,0,0,0,2.6
CAMP00095,CUST15746,2025-09-29T00:00:00,Winback,Push,1,1,0,0,2.22
CAMP00096,CUST22571,2026-04-25T00:00:00,Festive Burst,Email,1,0,0,0,1.43
CAMP00097,CUST05830,2026-03-01T00:00:00,Cross-Sell Boost,Ads,1,0,0,0,3.24
CAMP00098,CUST21850,2024-05-17T00:00:00,Retention Plus,Push,1,0,0,0,3.12
CAMP00099,CUST04929,2024-06-17T00:00:00,Winback,Push,1,0,0,0,1.91
CAMP00100,CUST17491,2026-02-20T00:00:00,Winback,SMS,1,0,0,0,2.97
CAMP00101,CUST14708,2025-07-15T00:00:00,Retention Plus,Email,1,0,0,0,3.98
CAMP00102,CUST19128,2024-05-07T00:00:00,Summer Sale,Ads,1,1,1,0,3.04
CAMP00103,CUST06412,2026-01-19T00:00:00,Spring Growth,SMS,1,0,0,0,4.51
CAMP00104,CUST14748,2024-08-19T00:00:00,Summer Sale,SMS,1,0,0,0,3.9
CAMP00105,CUST00153,2024-01-18T00:00:00,Summer Sale,Email,1,1,1,0,0.23
CAMP00106,CUST11902,2025-10-05T00:00:00,Cross-Sell Boost,Push,1,0,0,0,4.34
CAMP00107,CUST01697,2024-11-19T00:00:00,Winback,SMS,1,1,0,0,2.72
CAMP00108,CUST08071,2025-07-02T00:00:00,Cross-Sell Boost,Email,1,0,0,0,2.46
CAMP00109,CUST13430,2024-05-23T00:00:00,Spring Growth,Ads,1,0,0,0,2.59
CAMP00110,CUST05690,2026-08-08T00:00:00,Summer Sale,Email,1,1,0,0,6.85
CAMP00111,CUST16400,2024-06-18T00:00:00,Festive Burst,SMS,1,0,0,0,1.66
CAMP00112,CUST21979,2025-01-02T00:00:00,Festive Burst,Push,1,0,0,0,2.99
CAMP00113,CUST04228,2025-09-29T00:00:00,Retention Plus,SMS,1,0,0,0,5.69
CAMP00114,CUST15527,2026-08-18T00:00:00,Spring Growth,Push,1,0,0,0,5.99
CAMP00115,CUST17632,2024-08-19T00:00:00,Festive Burst,Email,1,0,0,0,4.44
CAMP00116,CUST11900,2024-10-06T00:00:00,Cross-Sell Boost,Email,1,1,0,0,2.7
CAMP00117,CUST24268,2025-11-13T00:00:00,Spring Growth,SMS,1,0,0,0,5.03
CAMP00118,CUST23066,2024-11-24T00:00:00,Retention Plus,SMS,1,0,0,0,0.27
CAMP00119,CUST02845,2026-03-28T00:00:00,Winback,Ads,1,0,0,0,7.44
CAMP00120,CUST14903,2025-07-02T00:00:00,Spring Growth,Email,1,0,0,0,0.32
CAMP00121,CUST14411,2026-07-28T00:00:00,Spring Growth,Ads,1,0,0,0,4.64
CAMP00122,CUST12453,2024-12-20T00:00:00,Cross-Sell Boost,Push,1,0,0,0,3.22
CAMP00123,CUST11826,2024-12-23T00:00:00,Winback,Push,1,0,0,0,1.48
CAMP00124,CUST10137,2024-11-16T00:00:00,Cross-Sell Boost,SMS,0,0,0,0,5.15
CAMP00125,CUST23838,2025-12-28T00:00:00,Cross-Sell Boost,SMS,1,0,0,0,1.79
CAMP00126,CUST15093,2026-01-19T00:00:00,Spring Growth,SMS,1,1,1,0,1.65
CAMP00127,CUST11894,2025-03-02T00:00:00,Spring Growth,Ads,1,0,0,0,4.95
CAMP00128,CUST05994,2025-03-27T00:00:00,Winback,Push,0,0,0,0,6.42
CAMP00129,CUST10993,2025-03-26T00:00:00,Cross-Sell Boost,Email,1,0,0,0,6.25
CAMP00130,CUST12082,2026-04-04T00:00:00,Cross-Sell Boost,SMS,1,1,0,0,7.2
CAMP00131,CUST13701,2024-06-10T00:00:00,Retention Plus,SMS,0,0,0,0,5.52
CAMP00132,CUST21652,2024-05-07T00:00:00,Festive Burst,Ads,0,0,0,0,1.62
CAMP00133,CUST00175,2025-12-10T00:00:00,Retention Plus,Push,0,0,0,0,2.04
CAMP00134,CUST10873,2026-08-18T00:00:00,Retention Plus,Email,0,0,0,0,3.78
CAMP00135,CUST24841,2025-12-07T00:00:00,Spring Growth,SMS,1,0,0,0,5.09
CAMP00136,CUST23789,2026-02-13T00:00:00,Spring Growth,Email,1,1,0,0,3.92
CAMP00137,CUST01574,2024-07-31T00:00:00,Winback,Push,1,1,1,0,5.13
CAMP00138,CUST16820,2025-11-14T00:00:00,Cross-Sell Boost,Push,1,0,0,0,6.84
CAMP00139,CUST04209,2024-02-27T00:00:00,Summer Sale,Email,1,0,0,0,4.63
CAMP00140,CUST14746,2025-02-27T00:00:00,Winback,Email,1,0,0,0,5.39
CAMP00141,CUST00339,2025-12-05T00:00:00,Spring Growth,Ads,1,1,0,0,2.45
CAMP00142,CUST21044,2026-06-03T00:00:00,Cross-Sell Boost,Email,1,1,0,0,0.63
CAMP00143,CUST08496,2024-10-17T00:00:00,Cross-Sell Boost,Ads,1,0,0,0,5.74
CAMP00144,CUST13093,2025-11-24T00:00:00,Cross-Sell Boost,SMS,1,0,0,0,3.44
CAMP00145,CUST18407,2026-02-16T00:00:00,Winback,Email,1,0,0,0,2.49
CAMP00146,CUST05762,2025-02-26T00:00:00,Retention Plus,Push,1,0,0,0,1.41
CAMP00147,CUST15872,2025-02-21T00:00:00,Winback,Ads,1,0,0,0,4.4
CAMP00148,CUST18780,2024-03-25T00:00:00,Cross-Sell Boost,Push,1,1,0,0,7.27
CAMP00149,CUST13795,2024-07-15T00:00:00,Summer Sale,Email,1,0,0,0,0.52
CAMP00150,CUST16053,2025-05-17T00:00:00,Winback,Email,1,1,0,0,7.48
CAMP00151,CUST19321,2025-09-03T00:00:00,Cross-Sell Boost,Email,1,1,1,0,2.95
CAMP00152,CUST02270,2025-09-30T00:00:00,Retention Plus,Email,1,1,1,1,1.64
CAMP00153,CUST14251,2024-03-15T00:00:00,Retention Plus,Push,1,0,0,0,6.74
CAMP00154,CUST24239,2026-03-09T00:00:00,Retention Plus,Push,1,0,0,0,4.84
CAMP00155,CUST03062,2025-02-09T00:00:00,Retention Plus,SMS,1,1,0,0,3.13
CAMP00156,CUST21547,2024-12-03T00:00:00,Spring Growth,SMS,0,0,0,0,6.31
CAMP00157,CUST07347,2026-03-28T00:00:00,Spring Growth,SMS,1,0,0,0,1.7
CAMP00158,CUST00455,2026-04-29T00:00:00,Festive Burst,Push,1,0,0,0,0.35
CAMP00159,CUST06265,2026-06-22T00:00:00,Winback,Ads,1,0,0,0,6.23
CAMP00160,CUST23418,2026-01-31T00:00:00,Spring Growth,Email,0,0,0,0,1.3
CAMP00161,CUST17455,2025-03-14T00:00:00,Cross-Sell Boost,Ads,1,0,0,0,7.3
CAMP00162,CUST15318,2024-01-12T00:00:00,Festive Burst,Email,1,0,0,0,2.13
CAMP00163,CUST10801,2026-06-07T00:00:00,Cross-Sell Boost,Push,1,1,1,0,5.29
CAMP00164,CUST07730,2026-07-25T00:00:00,Spring Growth,Email,1,1,1,0,0.29
CAMP00165,CUST01936,2024-11-28T00:00:00,Spring Growth,Ads,1,0,0,0,1.77
CAMP00166,CUST17850,2024-02-01T00:00:00,Retention Plus,Push,1,0,0,0,6.41
CAMP00167,CUST19088,2024-05-31T00:00:00,Retention Plus,Push,1,0,0,0,4.55
CAMP00168,CUST08272,2026-07-01T00:00:00,Cross-Sell Boost,SMS,1,1,1,0,3.97
CAMP00169,CUST18019,2025-03-05T00:00:00,Winback,Ads,1,0,0,0,0.88
CAMP00170,CUST20745,2025-01-27T00:00:00,Retention Plus,Ads,1,0,0,0,5.0
CAMP00171,CUST06596,2026-07-05T00:00:00,Festive Burst,Push,1,0,0,0,7.06
CAMP00172,CUST16793,2025-09-20T00:00:00,Retention Plus,Email,1,1,0,0,1.14
CAMP00173,CUST24022,2024-05-20T00:00:00,Summer Sale,Ads,1,0,0,0,2.95
CAMP00174,CUST03210,2025-03-27T00:00:00,Spring Growth,Push,1,0,0,0,6.76
CAMP00175,CUST20559,2025-05-18T00:00:00,Retention Plus,SMS,1,0,0,0,5.65
CAMP00176,CUST21389,2024-03-24T00:00:00,Summer Sale,SMS,1,1,1,1,3.06
CAMP00177,CUST23914,2025-02-23T00:00:00,Summer Sale,Ads,1,1,1,0,3.06
CAMP00178,CUST09903,2025-05-05T00:00:00,Summer Sale,Push,0,0,0,0,1.36
CAMP00179,CUST04046,2026-03-28T00:00:00,Retention Plus,Email,1,1,0,0,1.26
CAMP00180,CUST08415,2024-08-13T00:00:00,Festive Burst,Ads,1,0,0,0,4.57
CAMP00181,CUST21903,2025-02-20T00:00:00,Winback,SMS,1,0,0,0,5.1
CAMP00182,CUST18218,2025-04-13T00:00:00,Retention Plus,Push,1,0,0,0,5.07
CAMP00183,CUST19481,2024-08-17T00:00:00,Cross-Sell Boost,Email,1,0,0,0,4.5
CAMP00184,CUST08412,2025-09-13T00:00:00,Retention Plus,Email,1,1,1,1,4.26
CAMP00185,CUST05088,2024-10-24T00:00:00,Summer Sale,SMS,1,1,0,0,1.32
CAMP00186,CUST12417,2026-08-23T00:00:00,Cross-Sell Boost,Push,1,0,0,0,1.62
CAMP00187,CUST22254,2025-08-17T00:00:00,Spring Growth,Ads,1,0,0,0,5.73
CAMP00188,CUST12085,2025-02-05T00:00:00,Winback,Email,1,0,0,0,5.67
CAMP00189,CUST02069,2025-10-05T00:00:00,Festive Burst,Email,0,0,0,0,5.24
CAMP00190,CUST05787,2025-03-31T00:00:00,Festive Burst,SMS,1,0,0,0,3.05
CAMP00191,CUST12774,2024-01-24T00:00:00,Spring Growth,Ads,1,0,0,0,2.26
CAMP00192,CUST21812,2025-10-12T00:00:00,Spring Growth,Push,1,1,0,0,3.97
CAMP00193,CUST08067,2024-06-29T00:00:00,Festive Burst,SMS,1,0,0,0,5.36
CAMP00194,CUST24396,2026-02-03T00:00:00,Cross-Sell Boost,Push,1,0,0,0,3.4
CAMP00195,CUST13870,2025-02-13T00:00:00,Winback,Push,1,0,0,0,6.17
CAMP00196,CUST09973,2025-11-05T00:00:00,Winback,Email,1,0,0,0,5.19
CAMP00197,CUST13326,2025-07-26T00:00:00,Retention Plus,Email,1,1,0,0,2.45
CAMP00198,CUST00956,2025-04-25T00:00:00,Summer Sale,Ads,1,0,0,0,5.67
CAMP00199,CUST10018,2024-01-12T00:00:00,Spring Growth,Ads,1,0,0,0,0.26
CAMP00200,CUST12553,2024-01-05T00:00:00,Winback,SMS,1,0,0,0,6.14
CAMP00201,CUST20091,2026-07-23T00:00:00,Spring Growth,Ads,1,0,0,0,2.16
CAMP00202,CUST03798,2025-11-23T00:00:00,Winback,Ads,1,0,0,0,5.4
CAMP00203,CUST02277,2024-01-15T00:00:00,Cross-Sell Boost,Ads,1,0,0,0,6.46
CAMP00204,CUST19143,2025-05-14T00:00:00,Cross-Sell Boost,Email,1,1,0,0,2.44
CAMP00205,CUST13654,2025-06-10T00:00:00,Spring Growth,SMS,1,0,0,0,1.83
CAMP00206,CUST17665,2024-11-16T00:00:00,Summer Sale,SMS,1,0,0,0,4.29
CAMP00207,CUST10245,2026-06-13T00:00:00,Cross-Sell Boost,Push,1,0,0,0,6.46
CAMP00208,CUST23065,2024-12-22T00:00:00,Winback,Push,1,0,0,0,7.01
CAMP00209,CUST14945,2025-06-08T00:00:00,Spring Growth,SMS,1,0,0,0,1.75
CAMP00210,CUST22797,2026-05-19T00:00:00,Winback,Push,1,0,0,0,5.21
CAMP00211,CUST17346,2025-05-12T00:00:00,Summer Sale,Ads,1,0,0,0,2.96
CAMP00212,CUST05817,2025-07-15T00:00:00,Summer Sale,Push,1,0,0,0,3.13
CAMP00213,CUST10769,2024-04-16T00:00:00,Cross-Sell Boost,Email,1,1,0,0,0.57
CAMP00214,CUST11289,2024-11-13T00:00:00,Winback,SMS,1,1,0,0,0.59
CAMP00215,CUST09345,2024-10-25T00:00:00,Cross-Sell Boost,Ads,1,1,0,0,5.9
CAMP00216,CUST14994,2025-05-09T00:00:00,Festive Burst,Ads,1,1,1,0,5.0
CAMP00217,CUST07469,2025-01-16T00:00:00,Summer Sale,Push,1,1,0,0,6.84
CAMP00218,CUST21660,2024-12-09T00:00:00,Cross-Sell Boost,Ads,1,0,0,0,1.79
CAMP00219,CUST13196,2025-10-15T00:00:00,Retention Plus,SMS,1,0,0,0,2.71
CAMP00220,CUST01400,2026-05-05T00:00:00,Cross-Sell Boost,Ads,1,0,0,0,4.94
CAMP00221,CUST10767,2026-06-21T00:00:00,Cross-Sell Boost,Ads,1,0,0,0,0.91
CAMP00222,CUST04586,2024-07-28T00:00:00,Winback,SMS,1,0,0,0,4.91
CAMP00223,CUST16759,2024-02-12T00:00:00,Festive Burst,Email,1,1,0,0,4.29
CAMP00224,CUST12572,2024-03-01T00:00:00,Cross-Sell Boost,SMS,1,1,0,0,2.23
CAMP00225,CUST01621,2025-07-08T00:00:00,Winback,Ads,1,1,0,0,3.48
CAMP00226,CUST00727,2026-04-06T00:00:00,Summer Sale,Push,1,0,0,0,6.39
CAMP00227,CUST18981,2025-06-30T00:00:00,Retention Plus,SMS,1,1,1,0,2.34
CAMP00228,CUST18625,2024-06-30T00:00:00,Festive Burst,Push,1,0,0,0,6.59
CAMP00229,CUST23765,2024-10-04T00:00:00,Festive Burst,Email,1,0,0,0,0.64
CAMP00230,CUST01078,2026-06-05T00:00:00,Festive Burst,Email,1,1,1,0,1.56
CAMP00231,CUST20512,2024-05-03T00:00:00,Summer Sale,SMS,1,1,0,0,7.16
CAMP00232,CUST02429,2025-07-05T00:00:00,Cross-Sell Boost,SMS,1,0,0,0,4.21
CAMP00233,CUST17105,2025-02-09T00:00:00,Retention Plus,SMS,1,1,0,0,1.52
CAMP00234,CUST09615,2026-04-30T00:00:00,Retention Plus,Push,1,0,0,0,2.82
CAMP00235,CUST07959,2025-02-20T00:00:00,Spring Growth,Email,1,1,0,0,1.84
CAMP00236,CUST15285,2026-06-12T00:00:00,Cross-Sell Boost,Push,1,0,0,0,0.44
CAMP00237,CUST21529,2026-08-21T00:00:00,Retention Plus,Ads,1,0,0,0,4.33
CAMP00238,CUST04633,2025-03-10T00:00:00,Retention Plus,Email,1,0,0,0,4.34
CAMP00239,CUST14074,2025-10-02T00:00:00,Festive Burst,Ads,1,0,0,0,3.21
CAMP00240,CUST19735,2026-01-16T00:00:00,Summer Sale,Ads,1,0,0,0,6.02
CAMP00241,CUST10503,2025-01-26T00:00:00,Summer Sale,Push,1,0,0,0,4.69
CAMP00242,CUST22151,2024-04-06T00:00:00,Summer Sale,Email,1,1,0,0,3.72
CAMP00243,CUST04994,2026-02-08T00:00:00,Spring Growth,Ads,1,0,0,0,3.11
CAMP00244,CUST08024,2025-06-24T00:00:00,Spring Growth,Push,1,0,0,0,4.6
CAMP00245,CUST22757,2026-07-12T00:00:00,Winback,SMS,1,0,0,0,2.7
CAMP00246,CUST10634,2024-11-06T00:00:00,Cross-Sell Boost,Email,1,0,0,0,3.93
CAMP00247,CUST22986,2025-07-23T00:00:00,Festive Burst,Ads,1,1,0,0,4.46
CAMP00248,CUST03470,2026-07-31T00:00:00,Festive Burst,Ads,1,0,0,0,5.12
CAMP00249,CUST24303,2024-06-10T00:00:00,Spring Growth,Push,1,0,0,0,6.71
CAMP00250,CUST17912,2024-11-02T00:00:00,Spring Growth,Email,1,0,0,0,5.55
CAMP00251,CUST05960,2024-08-11T00:00:00,Cross-Sell Boost,Push,1,0,0,0,5.07
CAMP00252,CUST03660,2026-01-24T00:00:00,Spring Growth,Email,1,1,1,0,2.27
CAMP00253,CUST19422,2025-03-30T00:00:00,Spring Growth,Email,1,0,0,0,6.37
CAMP00254,CUST17543,2025-09-02T00:00:00,Retention Plus,Push,1,0,0,0,4.46
CAMP00255,CUST03893,2025-12-03T00:00:00,Winback,Ads,1,0,0,0,7.09
CAMP00256,CUST05871,2024-10-27T00:00:00,Spring Growth,SMS,1,0,0,0,1.17
CAMP00257,CUST04279,2024-07-04T00:00:00,Cross-Sell Boost,Push,1,0,0,0,6.94
CAMP00258,CUST19815,2024-05-14T00:00:00,Cross-Sell Boost,Ads,1,0,0,0,3.6
CAMP00259,CUST17509,2024-10-08T00:00:00,Winback,Push,0,0,0,0,0.3
CAMP00260,CUST14304,2024-12-23T00:00:00,Summer Sale,Email,1,1,1,0,0.23
CAMP00261,CUST17249,2025-07-21T00:00:00,Festive Burst,Email,0,0,0,0,0.27
CAMP00262,CUST02104,2026-07-05T00:00:00,Spring Growth,Ads,1,1,1,0,0.92
CAMP00263,CUST21054,2025-09-05T00:00:00,Spring Growth,SMS,1,0,0,0,4.06
CAMP00264,CUST06328,2024-08-23T00:00:00,Winback,Ads,1,0,0,0,5.9
CAMP00265,CUST17006,2025-10-24T00:00:00,Summer Sale,Push,1,0,0,0,7.48
CAMP00266,CUST12289,2024-04-11T00:00:00,Festive Burst,Push,1,1,1,0,3.37
CAMP00267,CUST06165,2024-07-03T00:00:00,Winback,Push,1,0,0,0,7.3
CAMP00268,CUST13554,2024-07-26T00:00:00,Summer Sale,Email,1,0,0,0,3.29
CAMP00269,CUST17983,2025-11-07T00:00:00,Winback,Push,1,0,0,0,4.84
CAMP00270,CUST15580,2025-03-12T00:00:00,Cross-Sell Boost,SMS,1,0,0,0,6.85
CAMP00271,CUST10746,2025-06-13T00:00:00,Summer Sale,SMS,1,0,0,0,6.65
CAMP00272,CUST00750,2025-08-11T00:00:00,Spring Growth,Ads,1,0,0,0,0.66
CAMP00273,CUST03934,2025-01-14T00:00:00,Retention Plus,Push,1,1,1,0,2.55
CAMP00274,CUST15686,2024-04-21T00:00:00,Cross-Sell Boost,Email,1,0,0,0,5.57
CAMP00275,CUST07613,2026-07-30T00:00:00,Cross-Sell Boost,SMS,1,0,0,0,7.4
CAMP00276,CUST20710,2025-03-11T00:00:00,Cross-Sell Boost,Email,1,1,1,0,1.02
CAMP00277,CUST08229,2024-05-01T00:00:00,Summer Sale,Ads,1,0,0,0,6.75
CAMP00278,CUST16317,2024-05-15T00:00:00,Spring Growth,Email,1,1,0,0,2.4
CAMP00279,CUST03483,2026-01-22T00:00:00,Spring Growth,Email,1,1,1,0,4.95
CAMP00280,CUST04028,2024-10-22T00:00:00,Winback,Push,1,0,0,0,3.66
CAMP00281,CUST07663,2025-02-22T00:00:00,Spring Growth,SMS,1,0,0,0,1.37
CAMP00282,CUST16180,2025-08-08T00:00:00,Cross-Sell Boost,SMS,1,1,1,0,0.61
CAMP00283,CUST04125,2025-07-18T00:00:00,Winback,Email,1,1,1,0,4.95
CAMP00284,CUST06230,2025-02-12T00:00:00,Cross-Sell Boost,Push,1,0,0,0,0.97
CAMP00285,CUST18959,2025-08-19T00:00:00,Winback,Email,1,1,0,0,2.88
